stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.03,0,0,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,0,0,0,0,2.2,0.86,0,1.29,0,0,0
 24-34,0.69,0,0,2.78,0,0,0,0,0,0,4.11,0,0,0,0,0,2.37,0,0.87,20.33,4.2,0,1.96,0.83,0,0,0,6.2,1.24,0,0
 36-46,1.51,0,0,0.97,0,0,0,2.26,0,0,0,0,0,0,0,0,9.83,0,3.99,28.86,2.54,0,6.83,0,0,0,0,12.68,4.5,0,0
 48-58,0,0,0,7.6,2.17,0,0,3.81,0,0,0,0,0,0,0,0,9.39,0,0.84,48.84,2.27,0,2.15,0,0,0,1.48,6.22,0.85,0,0
 60-70,4.93,0,0,1.91,0,0,0,6.38,0,0,0,0,1.92,0,0,2.98,14.03,0,2.88,36.14,0,0,0,2.99,0,0,0,2.92,0.88,0,0.77
 72-82,0,0,0,7.93,0,0,0,2.72,0,0,0,0,0,0,0,0,7.2,1.39,0,46.13,0,0,0,0.55,0,0,0,2.3,0,0,3.4
 84-94,1.21,0,0,4.11,0,0,5.47,2.18,0,0.6,0,0,0,0,0,0,13.96,0.94,0,42.66,0.74,0,0,1.22,0,0,0.78,0,0,0,0
 96-106,2.01,2.03,0,10.08,0,0,0,16.9,1.16,0,0,0,0,0,0,0,19.34,0,0,44.96,0,0.7,2.15,0.6,0,0,5.77,6.34,0,0.64,0
108-118,2.46,0.47,1.43,3.99,0.98,0,0.64,23.62,0,0,0,1.63,0,1.07,0.49,0,16.28,0,1.21,12.62,0.45,0,1.64,0,0,0.41,0,0,0,0,0
120,6.02,5.4,0,9.19,0,3.76,0,9.84,1.42,0,0,3.56,1.45,0,0,0,25.75,0,2.34,52.5,2.24,0,5.21,1.07,0,2.27,0,1.81,17.51,0,0
