stage,endoderm,epidermis,eye,glial,immune,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pronephros,spinal_cord,vasculature
 14-21,0.94,0,0,0.99,0,0,0.96,0,0,0.95,0.84,0,0,0,1.95,3.38,0
 24-34,0,1.11,0,0,0,0,0.77,0,0,0,5.2,0,1.7,0,0,2.01,0
 36-46,0,0,0,1.2,0,0,2.96,0,0,0,8.05,0,1.29,0,0,3.59,0
 48-58,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0.98
 60-70,0,0,0,0,0,0,0,0,0,0,9.83,0,0,0,0,0,0.74
 72-82,0,0,1.5,1.22,0,0,2.11,0,0.63,0,0,0,0,0.54,0,0,1.25
 84-94,0,1.33,0.87,0,0,1.07,0,0.57,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,2.37,0,0,1.67,2.66,4.83,0,0,0,0,0,0,0.92,0,0,0
120,0,0,0,6.28,0,1.74,0,0,0,0,0,1.77,0,0,0,0,0
