stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,291.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.33,0,0,0,0,0,0,0,0,0,0
  5-6,23.9,205.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.83,0,0,0,0,0,0,0,0,0,0
  7-9,4.14,0,0,13.23,0,0,0,12.84,0,0,0,0,0,6.31,0,0,0,0,0,0,0,0,0,193.63,0,0,0,38.25,221.38,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.56,0,24.84,0,0,0,6.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.46,0,0,0,37.63,43.79,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.1,38.41,3.83,0,3.75,0,0,0,0,3.14,0,0,0,0.81,0,0,0,3.03,0,1.21,25.95,0,0,3.7,4,103.25,7.1,6.92,0,3.02,8.77,0,0,0,0,0
 24-34,0,0,1.29,0,18.33,0,0,5.64,0,0.78,0,0.97,1.01,0,0,0,2.46,1.81,0,0,10.18,0.67,2.91,63.9,2.17,6.08,5.58,0,57.78,0,2.65,0,2.13,9.96,0,0,0.65,0,0.96
 36-46,0,0,0,0,14.99,0.57,0,5.23,0,0,0,0,0,0,0,0,1.76,1.05,0,0,0.56,1.78,0.95,103.36,0,8.97,1.86,0,115.32,0,2.15,0,0,5.6,0,0,0,0,0
 48-58,0,0,0,0,9.2,0,0,11.84,2,1.17,0,6.63,0,0,0,0,3.89,2.32,0,3.45,4.77,2.05,0.85,45.89,0,3.24,0,0,63.19,0,0.98,0.58,0,4.85,0,0,0,0,0
 60-70,0,0,0,0,5.24,0,0,4.7,3.6,2.08,0,0,0,4.08,0,0,6.28,1.68,4.47,0,6.26,2.63,0.59,28.06,2.42,1.48,1.71,0,44.22,0,0,2.69,0,5.87,0,0,0,0,0
 72-82,0,0,0,0,6.22,0,0,11.65,1.65,4.33,0.8,4.05,2.07,0,1.02,0,1.07,2.33,0,0,11.64,1.53,0,25.4,0,1.97,1.08,0,30.45,0,0,0,0,0,0.68,0,1.95,1.28,0
 84-94,0,0,1.11,0,20.6,1.46,0,5.07,0,6.58,0,6.36,5.51,0,0.6,1.8,2.18,5.36,0.83,0,2.93,2.33,0,9.53,0,1.51,1.27,0,171.38,0,0.58,2.37,0,3.76,4.29,1.32,0,0,0
 96-106,0,0,2.16,0,25.43,0,1.09,7.57,0,7.61,0,5.07,2.16,0,0,2.87,7.02,2.43,0,0,13.71,3.51,0,25.23,0.57,0.56,2.02,0,121.94,0,0,0.6,0,0,7.08,0.85,7.9,0,0
108-118,0,0,1,1.22,14.16,0,1.27,3.19,3.19,3.16,0,3.29,4.22,0,0,0.93,5.02,2.62,7.85,0,14.48,3.58,0.43,31.85,0,3.15,0,0,126.85,0,0.41,0.56,0,0,4.07,0,0,0,0
120,0,0,0,0,16.55,0,0,0,0,3.08,0,0,2.42,0,0,0,6.03,0,1.02,0,3.3,0,0,22.81,0,1.54,0,0,51.1,0,0,0,0,0,10.88,0,10.09,0,0
