stage,epidermis,eye,fin_epithelia,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,pronephros,spinal_cord
 10-12,0,0,0,0,0,0,0,0,18.07,0
 14-21,0,0,0,0,0,0.85,0,0.9,0,0
 24-34,0,1.06,0,0,0,5.05,0,0,0,3.42
 36-46,0,0.65,0,0,0,2.97,0,0,0,5.71
 48-58,7.04,1.96,0,1.09,0.56,8.29,0,0,0,0
 60-70,5.3,0,1.31,0,0,1.27,0,0,0,0
 72-82,0,1.85,0,0,0,5.44,0,0,0,0
 84-94,0,0,0,0,0,5.4,0,0,0,0
 96-106,0,0.84,0,0,0,0,0,0,0,0
108-118,0,0,0,1.71,0,1.73,1.89,0,0,0
