stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,99.35,2738.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.01,0,0,0,0,0,0,0,0,0,0
  5-6,293.93,4174.22,0,0,0,0,0,0,0,0,0,0,0,22.09,0,0,0,0,0,0,0,0,0,0,0,258.49,0,0,0,80.7,0,77.5,0,0,0,0,0,0,0,0,0,0
  7-9,60.08,24.38,0,62.2,0,0,0,117.12,0,0,0,0,0,39.33,0,0,0,0,0,0,0,0,0,0,0,1024.5,52.74,0,0,358.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,23.61,0,31.38,0,0,0,128.37,0,0,0,0,0,26.96,0,0,0,0,0,0,0,0,0,0,0,696.89,38.08,0,0,258.88,0,3.1,3.96,13.92,0,5.88,5.09,0,0,0,0,0
 14-21,2.31,0,0,0.86,22.25,5.36,0,17.05,0,0,0,0,0,2.29,0,0,15.71,0,0,0,0,8.13,0,0,3.05,87.71,0,0,1.78,14.62,0,3.22,32.61,0.86,8.31,70.52,17.92,0,0,0.9,0,0
 24-34,0,0,0,0.86,18.5,9.08,0,19.61,10.41,0,0.7,2.43,0,0.81,0,3.47,15.42,0,2.54,0,0,10.16,0.69,0,8.1,165.94,2.75,0,1.67,0,0,22.34,0,0.68,0.87,42.87,26.29,0,0,10.01,0,4.83
 36-46,0,0,0,0,13.03,0.73,0,12.66,24.54,0,0,0,0.67,0,0.75,3.9,0.56,0,0.95,1.9,1.58,8.3,0,0,3.88,94.08,0.58,1.8,0.57,0,0,30.55,0,0,12.94,5.12,31.61,0,0,7.64,0,0
 48-58,0,0,0.42,0.43,13.02,0,0,37.25,12.44,6.57,1.34,10.19,2.64,0,0,2.05,1.45,0,0.82,4.43,1.12,13.78,0.98,0.84,20.35,118.7,0.44,2.06,0.4,0,0,14.63,0,0,2.5,0,13.41,0,0,0.84,0,1.12
 60-70,0,0,0,0,12.18,0,0,78.38,7.21,7.22,3.21,14.12,0.64,0,0,8.86,0,0,0,1.05,0.73,38.81,0,0.93,12.78,176.67,0,2.47,4.91,0,0,11.62,0,0.97,0.64,0,29.49,0,0,5.25,0,12.89
 72-82,0,0,0.97,0,7.61,1.09,0.9,57.39,4.66,0.64,2.13,16.5,3.75,0,0.6,2.58,4.19,1.22,1.81,5.7,0,52.81,0,0,7.16,172.06,0,1.05,0.52,0,0,10.36,0,0,3.68,0,11.21,0.68,2.92,1.36,0.61,2.26
 84-94,0,0,1.05,0,16.56,1.65,1.76,31.47,0.8,2.86,3.58,11.03,3.09,0,0,4.63,6.31,0.64,4.39,0,1.35,47.05,0,1.93,5.78,125.36,0,5.89,5.09,0,10.51,21.68,0,0,0,0,15.09,0,4.05,13.72,1.94,0
 96-106,0,0,2.5,0,12.38,1.02,0,32.18,0,1.83,24.23,22.57,7.47,0,4.11,6.07,8.32,0.74,5.27,2.57,0,97.72,0,3.19,20.12,89.81,5.35,2.3,5.23,0,0,24.7,0,0,0,0,10.13,1.49,5.43,3.12,3.01,2.52
108-118,0,0,0,0.61,20.34,1.49,4.43,34.57,0.56,3.66,7.53,29.08,4.19,0,0.86,9.41,4.6,0.72,2.7,10.59,0.91,86,1.22,1.9,14.43,97.88,1.13,3.2,6.48,0,3.27,17.25,0,4.19,0.44,0,3.07,2.73,2.05,1.16,0.5,3.92
120,0,0,0,0,47.88,1.6,0,33.22,0,5.57,22.61,65.77,9.63,0,0,13.03,1.36,1.11,0,5.04,3.28,93.74,0,4.22,26.27,293.2,8.72,2.4,0,0,0,39.53,1.12,2.87,0,0,18.47,0,0,18.71,0,0
