stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,16.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.22,0,0,0,0,9.33,0,0,0,0,0,0,0,0,0,0,0,0,0,52.89,0,0,0,14.07,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.31,0,13.9,0,0,0,0,0,4.64,0,0,0,0,0,0,0,317.52,25.26,0,0,86.37,0,0,0,0,0,0,0,0
 14-21,0,0,6.57,2.13,0,9.25,0,0,0,1.4,0,0,0,0,0,0,18.89,3.44,0.86,25.49,0,0,0.81,0.87,6.24,1.72,0,31.46,12.79,0,0,0
 24-34,0,0,0,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,1.7,0,6.29,0,0,0,0,0,0,0,2.09,0,0,0,0
 36-46,0,2.92,7.11,0,0,28.2,0,1.81,0.57,3.26,0,0,1.67,1.95,1.32,1.78,0,7.51,3.9,39.78,0,0.64,0.61,0,0,0,2.25,0,13.39,1.67,0,3.02
 48-58,0,0,0,0,0,1.31,0,0,0,0,0,0,0,3.38,0,0,0,0.96,0,5.7,0,0,0.52,0,0,0,0,0,0.61,0,0,0
 60-70,0,0,0,0,0,4.27,1.67,0,0,0.97,0,0,0,0,0,0,0,2.17,1.52,13.87,0,0,1.26,0,0,0,0,0,0,1.06,0,0
 72-82,0,0,0,1.15,0,9.97,0,0,0.78,0,2.46,0,0,0,0,0,0,0,0.73,1.29,0,0,0,0,0,0,0,0,0,0,0.75,0
 84-94,0,0,0,0,0,4.3,0,0,0,0.75,0,0,2.31,0,0,0,0,1.37,0,6.89,0,0,0,0,0,0,0,0,0,2.51,0,0
 96-106,0,0,0,2.98,0,17.11,0,0,0,5.08,0.63,0,2.6,0,0,0,0,1.04,0.61,5.45,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,2.21,3.86,0.49,1.25,0,0,0,1.34,1.99,0,1.29,0,0,0.42,0,0.58,0,0.5,0,0,0,0,0,0,0,0,0,0,0,3.31
120,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0,0,0,0,0
