stage,axial,blastomeres,endoderm,eye,gut,heart,immune,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pgc,vasculature
  3-4,33.42,977.32,0,0,0,0,0,0,0,0,0,97.56,0,0
  5-6,48.17,621.23,0,0,0,0,0,0,24.72,0,0,7.49,0,0
  7-9,0,0,13.04,5.86,0,0,0,0,122.05,5.97,23.85,0,0,0
 10-12,0,0,0,0,0,0,0,0,16.28,0,4.77,0,8.7,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.22,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92
 48-58,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0
 72-82,0,0,0,0,0.64,0,0.94,0.68,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0
108-118,0,0,0.74,0,0,0.99,0,0,0,0,0,0,0,0
