stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pgc,pronephros,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,27.96,74.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,69.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.88,0,0,0,0,0,0,0,0,0,0,0,0,0,50.83,0,16.87,0,0,0,0,0
 10-12,0,0,4.26,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,16.66,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87,0,0,0,0,1.04,0,0
 24-34,0,0,0,0,11.59,1.56,0.63,0.83,0.61,0.89,0,0,1.2,0.82,2.55,3.72,0,0,0,0,0.8,0,0.81
 36-46,0,0,0,0,0,5.19,11.7,0,0,0,0,0,0.99,0,0,6.19,1.19,0,0,0,0.56,0,0
 48-58,0,0,0,0,0,0.53,0.38,0,0,0.79,0,0,0,0,3.69,5.09,0.93,0,0,0,0,0,1.6
 60-70,0,0,0,0,0,0.59,0,0,0,0,0,0,1.59,0,0,0.65,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,1.51,2.32,2.46,1.59,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,19.75,0,0,0,0,0,9.98,0,0,0,0,0,0.74,0
 96-106,0,0,0,3.66,0,0,0,0,1.1,3.06,0,1.18,1.71,0,0,0,0,0,0,0,0.83,0,0
108-118,0,0,0,0,0,2.82,0,0,1.79,1.66,0,0,0,0,0,1.91,0,0,0,0,0,0,0
120,0,0,0,2.51,0,0,0,0,0,0,0,0,2.83,0,0,0,0,0,2.3,0,3.65,0,0
