stage,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pgc,presomitic.mesoderm,somites,spinal.cord,xanthophores
  5-6,29.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,26.45,0,0,0,4.61,0,0,0,0,30.51,19.88,0,13.63,0,0,0,0,0
 10-12,0,17.44,0,0,0,0,0,0,0,0,17.38,0,0,50,5.47,0,0,0,0
 14-21,0,0,1.8,0,1.07,0,0,0,0.86,0,21.82,2.95,0,1.79,0,3.91,1.84,4.33,0
 24-34,0,0,0,0,0,0,0,0,1,0.64,52.18,0,0,0,0,0,1.27,11.71,0
 36-46,0,0,0,2.51,1.45,0,0,0,0,0,61.7,0,1.46,0,0,0,0,7.87,0
 48-58,0,0,0,2.16,5.7,0,0,0,0.8,0,80.59,0,0,0,0,0,0,3.03,0
 60-70,0,0,0,1.11,2.34,0,0.64,0,1.43,0,74.85,0,2.13,0,0,0,0,4.29,0
 72-82,0,0,0,13.01,11.26,0,0.56,0,1.09,0,115.54,0,10.8,0,0,0,0,2.54,3.67
 84-94,0,0,0,5.27,5.67,0,0,0,0,0,93.56,0,7.45,0,0,0,0,9.12,0
 96-106,0,0,1.49,11,13.86,0,0,0,0.93,0.81,53.44,0,3.36,0,0,0,0,0,0
108-118,0,0,1.62,6.17,15.81,0,0.48,1.49,0.46,0,104.58,0,9.54,0,0,0,0,0,0
120,0,0,6.87,0,4.65,0,1.54,0,0,0,169.17,0,0,0,0,0,0,20.8,0
