stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,20.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.92,0,0,0,4.56,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.68,0,0,0,0,0,0,0,0,0,0,37.53,0,0,0,9.38,0,0,0,0,0,0,0,0
 14-21,0,13.62,7.72,3.87,0,0,14.71,0,0,0,0,12.88,0,4.71,85.27,0.86,0.86,3.89,1.14,0,9.44,3.86,6.62,51.39,1.07,0,0
 24-34,0,0,0.91,1.97,0,0,8.88,1.16,0,0,0,6.52,0,1.29,68.09,0,0.86,0.95,0,0.62,0,0.83,1.71,16.67,0,0,0.75
 36-46,0,0.57,0,16.47,0,0,1.4,0,0,0,0,9.52,1.44,0.58,63.96,0.66,1.88,0.71,0,0,0,2.42,0,19.46,1.49,0,0
 48-58,0,3.27,0,16.14,0,0,9.98,0,0.69,0.95,0,13.62,0,2.55,44.92,0,0,0.63,0,0,0,0,0,9.35,0,0,0
 60-70,0,0,0,14.05,0.63,0,2.76,0,0,0,0,9.38,0,1.66,16.65,0,0,0,0,0,0,0,0,6.4,0,0,0
 72-82,0,0,0,10.36,0,0.74,7.59,0,0,0,0,11.29,0,1.06,10.91,0,0,1.57,0,0,0,0,0,1.94,1.04,0,0
 84-94,0,0,0.76,8.91,0,0,5.6,0,0,0,0,16.46,1.55,0,22.74,0,0,0,0,0,0,1.07,0,3.29,1.29,1.95,0
 96-106,0,0,0,14.75,0,0,8.96,0,0,0,1.02,13.93,3.49,2.15,26.58,0,0,2.66,0,0,0,0,0,2.46,0,0,0
108-118,0,0,0,6.26,0,1.82,10.44,0,0,0,0,9.14,1.83,2.51,36.81,0,0,1.25,0,0,0,0,0,1.5,0,0,0
120,0,0,0,5.25,0,0,0,0,0,0,0,7.44,0,1.5,30.27,0,0,0,0,0,0,0,0,0,1.14,0,0
