stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,lateral.line,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,vascular.smooth.muscle,vasculature,xanthophores
  3-4,59.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,10.29,0,0,0,0,0,15.14,5.22,12.47,0,0,0,0
 10-12,0,0,10.84,0,0,0,0,6.05,0,0,0,0,0,15.12,0,10.88,0,0,0,0
 14-21,0,2.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,2.93,0,0,0,0,0,0,0,0,9.63,0,0,1.45,0,0,0,0,4.24,0
 36-46,0,1.55,0,0,0,0,0,0,0,0,15.73,0,0,9.74,0,0,0,0,0,0
 48-58,0,1.78,4.49,0.5,0,0,0,0,0,0,35.23,0,0,10.89,0,0,3.47,0,0,6.67
 60-70,0,5.35,1.61,0.9,0,5.78,0,0,0,0,59.59,0,0,11.72,0,0,0,0,0,0
 72-82,0,4.52,2.97,0,1.65,1.97,0,0,0,0,86.63,1.79,0,1.92,0,0,0,0,0,0
 84-94,0,1.94,2.2,0,1.17,0,0,0,0,0,82.58,0,0,0,0,0,0,0,0,0.73
 96-106,0,1.4,1.69,0,0,7.05,0,0,0,0,74,0,0,17.5,0,0,0.69,0.78,0,0
108-118,0,4.79,1.04,0.56,1.38,1.51,0,0,2.36,0,61.06,0,2.91,0,0,0,0.63,0,0,0.55
120,0,4.93,0,0,0,0,4.04,0,0,1.88,68.34,0,14.81,0,0,0,0,0,0,0
