stage,endoderm,erythrocytes,eye,fin.epithelia,fin.mesenchyme,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,spinal.cord,vascular.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.54,0,0
 10-12,5.85,0,0,0,0,0,0,0,0,13.51,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0
 24-34,0,0,0,1.92,1.02,0,0,1.64,0.94,3.44,0,0,0,2.07,0
 36-46,0,0,0,0,6.62,0,0,1.36,6.81,1.91,0,0.91,0,1.92,0
 48-58,0,0,0,0,0,11.07,0,0.51,0,0,0,0,0,0.53,0
 60-70,0,0,0,0,0.87,29.35,0,0,0,2.62,0,0,0,0,0
 72-82,0,0,0,0,0,33.49,0,0,0.77,0,0,0,0,0,0.61
 84-94,0,0,1.27,0,0,14.64,0.97,0,2.89,0,0,0,0,0,0
 96-106,0,5.19,0,0,0,5.72,0,0,0,0,0,0,0,0,0
108-118,0,0,1.21,0,0,9.59,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,30.45,0,0,0,3.06,8.07,0,0,0,0
