stage,axial,blastomeres,endoderm,epidermis,eye,gut,hatching_gland,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,vascular_smooth_muscle
  3-4,314.9,4269,0,0,0,0,0,0,0,0,0,0,0,116.61,0,0,0
  5-6,262.39,5902.93,28.87,0,0,0,0,0,138.29,0,0,0,43.43,30.96,0,0,0
  7-9,33.25,31.51,44.5,0,88.35,0,16.68,0,915.35,21.24,0,0,246.8,0,7.7,0,0
 10-12,0,0,0,0,0,0,0,0,19.79,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0
 36-46,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,2.39,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,4.34,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.24,0,0,0,6.69,0,0,0.61,0,0,0,3.22,0
 84-94,0,0,0,0,0,0,0,0.93,0.73,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.92,0,0,0,0,0,0,3.17,0,0,0,0,1.92,0
108-118,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,1.36
120,0,0,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,0
