stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,42.53,332.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.39,0,0,0,0,0,0,0,0
  5-6,13.6,338.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.28,0,0,0,0,24.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0,0,17.42,6.92,0,5.64,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.73,0,0,5.19,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,43.69,1.31,0,0,0,0,0,0,0,1.66,0,0,0,14.47,5.85,0,0,0,16.52,0,1.2,0,0,0,0,0,0.9,3.97,0,0,1.85,0
 24-34,0,0,0,82.37,0,0.6,0.91,0.91,0,0.83,0,0,0,0.66,0,0,4.28,13.55,1.32,0,7.43,70,0,1.37,0,0,4.44,8.44,0,1.38,4.71,0,0,4.78,0
 36-46,0,0,0,69.84,0,3.07,4.18,0,0,2.23,0,0,0.92,10.34,0,0,2.12,12.33,0,0,3.95,39.19,0,1.19,0,0,5.12,6.65,0,0,6.74,0,0,0,0
 48-58,0,0,0,56.57,0,6.41,1.19,2.8,0.41,2.78,0,0.7,2.12,0,0,0,0,18.84,0,0.84,0.77,38.02,0,0.37,0,0,6.91,4.33,1.87,0,0,0,0,0,0
 60-70,0,0,0,18.04,0,13.02,2.9,2.32,0.84,4.79,0,0,3.38,0,0,0,5.1,8.98,0,1.89,2.18,31.55,0,0,0,0,3.72,11.98,0,0,0,0,0.65,1.92,4.09
 72-82,0,0,0,10.49,0,9.27,0,0,10.81,36.84,1.88,0,6.43,0,3.62,0.56,3.84,24.43,0,1.73,0,25.05,0,0,0,0,14.13,20.05,0,0,0,0,8.67,3,13.28
 84-94,0,0,0,22.62,0,5.07,0,0,4.04,27.02,21.3,0.66,4.63,0.69,13.43,0,10.08,21.46,0,2.86,0,23.42,0,0,0,0,4.94,55.67,0.57,0,2.57,0,15.21,0,3.89
 96-106,0,0,0,29.02,2.76,19.04,0,0,13.56,73.9,27.6,0,9.5,0,5.14,0,14.87,23.13,0,0,3.03,21.62,0,1.65,0,0,15.09,50.05,0,0,0,0,5.23,0,18.03
108-118,0,0,0,37.13,0,45.94,0,0.62,11.63,120.65,38.56,0,3.79,0,12.11,0,4.79,24.42,0,0,4.31,15.95,0,0,0,3.15,4.77,31.07,0.44,0,5.04,1.03,1.96,0.99,24.49
120,0,0,0,20.16,0,15.27,0,0,5.39,127.61,18.18,0,4.01,0,12.11,0,6.13,21.33,1.49,0,0,7.49,0,0,0,0,2.07,15.77,0,0,0,0,7.39,0,58.38
