stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,0,0,0,0,0,0,0
 10-12,5.27,0,0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,70.51,0,0,7.9,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,0,0,4.27,0,0,0,2.44,3.86,0,0
 24-34,0,1.14,0,2.58,0,0,0,0,0,7.4,1.37,0,0,0,2.22,0,5.83,0,0,0,0,2.96,0,0
 36-46,0,0,0,0,5.66,0,0,0,0.72,1.52,0,0,0,0,0,0,0.82,0,0,0,0,0.64,0,0
 48-58,0,0,0,7.8,3.87,0,0,0,0,0,0,5.51,1.95,3.6,0,0,0,0.65,0.86,0,0,0,0,0
 60-70,0,1.8,0,34.27,0,0,0,0,0,11.86,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0
 72-82,0,5.57,0,67.46,0,0,0,2.7,0,8.25,0,0,0,0,0,0,1.72,0.73,0,0,0,0,1,5.3
 84-94,0,24.5,0,73.77,0,0,0.86,0.69,2.43,35.2,0,0,0,5.77,0,0,1.82,1.25,0,0,6.06,0,0,1.45
 96-106,0,83.19,7.51,58.93,0,0,0,4.74,1.58,59.3,0,0,0,5.5,0,1.66,10.36,0,0,0,8.28,0,0,3.43
108-118,0,102.81,15.96,35.76,0,1.52,0,13.64,7.77,40.06,0,0,0,2.58,0,0,14.41,0,0,0,4.62,0,0,1.76
120,0,48.93,5.61,68.77,0,0,0,10.47,0,21.52,0,0,0,0,0,0,7.5,0,0,0,17.38,0,0,0
