stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord
  3-4,79.65,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,39.8,0,12.6,0,0
 10-12,0,0,0,7.55,0,0,0,0,0,22.6,0,32.54,0,0
 14-21,0,0,1.02,1.37,0,0,0,0,0,3.39,0.82,0,0,0
 24-34,0,0,0,0,0,0.64,0,1.96,0,15.36,0,0,0.74,2.96
 36-46,0,0,0,2.07,0,0,0,0.56,0.59,11.34,0,0,0,0.63
 48-58,0,0,0,2.29,0,0,0,0,0.43,2.15,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.84,0,2.46,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,2.43,0,0,0,0
 84-94,0,0,0,1.74,1.52,0,0,0.69,0,0,0,0,0,0
 96-106,0,0.8,0,1.18,0,0,0,0,0,2.17,0,0,0,0
108-118,0,0,0,3.05,1.35,0,1.59,0,0,5.5,0,0,0,0
120,0,0,0,1.06,0,0,0,0,0,5.02,0,0,0,0
