stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,402.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4,0,0,0,0,0,0,0,0,0,0
  5-6,20.06,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.85,0,0,5.26,0,0,0,0,0,19.18,0,0,0,0,0,0,0,0,0,0,34.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,16.41,0,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,0,0,41.02,0,0,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.36,0,7.66,0,0,0,0,0,0,2.22,0,0.88,0,0,0.92,9.71,0,0,3.78,47.48,0.84,0,0,0.86,0,1.67,10.26,1.01,2.72,5.17,16.65,0,0,0,0,0
 24-34,0,0,0,2.05,4.54,1.28,10.04,0,1.2,0,3.63,0.92,0,0,0.77,1.84,0,0,0,14.22,0.66,0,7.12,117.39,0,0,0.67,0,0,12.1,0,0,1.14,2.51,26.43,0,0,5.81,0,0
 36-46,0,0,0,0,4.12,0,17.82,0,0,0.6,13.6,0.72,0,1.77,2.98,0,0,0.61,0,13.92,5.45,0,7.59,175.33,2.57,2.77,0,0,0,22.61,0,0.59,0,0,35.44,0,0,1.59,0,0
 48-58,0,0,0,0,0.76,0.43,35.4,1.97,5.08,10.25,8.73,0,0,0.66,2.24,0,1.54,0,0,17.23,0,0.52,4.05,172.81,0,0.37,1.94,0,0,17.58,0,0,0,0,31.94,0,0.42,0.45,0,0
 60-70,0,0,0,0,12.12,15.48,134.35,0,9.96,4.25,27.33,0,0,0,1.42,0,1.55,0,1.2,37.3,0.62,0.62,5.53,253.83,0.83,0.7,0,0,0,18.72,0,0.59,0,0,31.72,0,0,3.69,1.46,0
 72-82,0,0,0,0,4.47,9.05,117.58,0,0.62,2.25,27.53,0,0,0.6,2.58,0.56,0.75,0,0,60.16,0.95,1.15,1.19,237.22,1.32,0,1.98,0,0,6.14,0,0,0,0,25.92,2.01,2.38,12.38,3.2,0
 84-94,0,0,0,0,7.27,7.28,65.27,0,1.53,0,20.83,1.7,0,4.19,6.94,0,0,0,0.86,90.6,1.73,7.46,3.87,120.22,0,0,1.67,0,0,14.58,0,0,0,0,17.56,0,3.4,4.49,0,0
 96-106,0,0,1.11,0,12.12,7.15,71.32,0,2.93,0,36.33,3.68,0,0.73,3.44,4.37,1.28,1.31,0,63.49,0,0,5.24,126.23,0.57,2.08,3.13,0,4.91,22.17,0,0,0,0,17.12,2.36,0,9.55,0,1.93
108-118,0,0,0.54,0,10.27,14.37,104.01,0,2.47,1.52,33.49,1.8,0,1.25,2.14,1.24,4.27,0.89,0,103.71,0,0,15.17,184.74,2.34,0.83,0.85,0,0,6.88,0,0.44,0,0,11.51,0,0,2.11,1.07,0.99
120,0,0,22.7,1.28,13.11,6.33,30.03,0,2.51,3.11,52.3,6.28,0,0,0,1.77,1.92,0,1.67,45.69,0,0,3.09,194.94,0,1.15,0,0,0,2.83,0,0,0,0,4.39,0,0,10.67,0,0
