stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,41.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.17,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,7.86,0,0,6,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,22.95,0,0,0,0,10.58,0,0
 14-21,0,0,0,0,0,0,0.9,0,2.93,0,0,0,0,0,1.72,0
 24-34,0,0.6,0,1.64,0.71,0,0,1.35,3.46,0.94,1.29,0,0,0,0,0.69
 36-46,0,0,1.04,0,0.67,1.54,0,0,4.94,0,0,0,2.27,0,0,0
 48-58,0,0,0.39,0,0,0,0.47,0,0.61,0,0,0,0,0,0,1.16
 60-70,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,3.65
 72-82,0,0,0,0,0,0.52,0,0,8.93,0,0,0,0,0,0,2.32
 84-94,0,0,0,1.39,0,0,0,0,6.28,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0
108-118,0,0.45,0,1.1,0.43,0,1.35,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
