stage,erythrocytes,eye,fast.muscle,glial,ionocyte,melanocytes,mesenchyme,muscle,neural,pronephros,somites,spinal.cord,xanthophores
 10-12,0,4.71,0,0,0,0,0,0,0,4.48,0,0,0
 14-21,1.89,0,0,0,6.71,3.15,2.03,0,0,0,0.81,2.99,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.92
 36-46,0,0,0,0,0,2.61,0,0,1.52,0,0,0,0.57
 48-58,0,0.43,2.61,0,0,1.7,0,0,0,0,0,0,0.38
 60-70,0,6.52,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,2.65,0,0,0,0,0.96,0.68,0.81,0,0,0,9.12
 84-94,0,0,0,0,0,2.16,0,0,1.1,0,0,0,0
108-118,0,0,0,0,0,0,0,0,1.03,0,0,0,0
120,0,0,0,17.3,0,0,0,0,0,0,0,0,0
