stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,heart,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,19.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.48,0,0,0
  5-6,70.46,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0
  7-9,0,4.52,0,0,0,0,0,0,0,0,27.73,9.54,0,0,8.5,0,0,0,0
 10-12,0,0,0,9.92,0,0,0,0,0,0,74.04,0,0,0,26.75,0,4.18,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,1.84,0
 24-34,0,0,1.71,2.77,0,0,0,0,0.65,0,14.33,0,0,1.35,0,0,0,0,4.82
 36-46,0,0,0,3.45,0,0,0,0,0,0,12.53,0,0,0,0,0.67,0,0,0
 48-58,0,0,0,2.73,0.4,0,0,0,0,0,12.29,0,0,0,0,0,0,0,0
 60-70,0,0,0.78,4.21,0,9.69,0,0,0,7.11,10.14,0,0,0,0,1.28,0,0,0
 72-82,0,0,0,1.12,0,2.17,1.68,0.58,1.14,0,1.86,0,0,0,0,0,0,0,1.3
 84-94,0,0,0,0,0,3.88,0,0,0,2.22,0,0,0.8,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0.86,0,0,0
108-118,0,0,0,0.55,0,0.56,0,0,0,0,1.98,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,8.82,0,2.09,0,0,0,0,1.73,0,0,0
