stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,55.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.23,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.03,3.43,0,0,0,0,0,0,0,0,0,0
 10-12,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.73,0,0,0,0,8.5,4.12,0,0,0,0,0
 14-21,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.94,0,0,0,0,0.9,0,1.38,2.57,0,0,0
 24-34,0,0,1.21,0.64,0,0.66,0,0,0,0,0,0,0,0,2.37,0,0,0.8,24.8,0,0,0,0,0,0,0,3.68,0,0,0
 36-46,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,5.29,0,0,2.79,17.61,0,0,0,0,0,0,0,7.13,0,0.59,0
 48-58,0,0,0.76,0,0.71,0,0,0.61,0,0,0,0,0,0,6.75,0,0,4.57,11.27,0,0,0,0,0,0,0,0.74,0,0,0
 60-70,0,0,0.86,0,0.62,0,0,0.95,4.07,0,0,0,0,0,3.75,0,0,0.93,6.19,0,0,0,0.56,0,0,0,0,0,0.9,0
 72-82,0,0,0,3.93,0,3.22,0.59,0,0,0.58,0,0,1.69,0,2.99,0,0.68,0,7.71,0,0,0,0,0,0,0,0,0,2.43,0
 84-94,0,0,1.2,1.77,0,0.63,0,0,0,0,3.76,0,0,0,1.45,0,0,0,18.33,0,0,0,4.69,0,0.74,0,0,0,5.56,0
 96-106,0,0,3,0,0,0,0,0,0,0,1.82,0,0,0,14.42,1.24,0,0,2.37,0,0,0,12.05,0,0,0,0,1.83,1.75,2.34
108-118,0,0.74,7.62,0,0,3.5,0,1.34,2.64,0,0.7,0,2.79,1.37,13.24,0,0,0,4.8,0,0.46,1.79,0.54,0,0,0,0,0,4.47,0
120,0,0,1.2,0,0,0,0,0,1.92,0,3.81,5.96,0,0,8.86,0,0,0,0,0,2.88,0,34.41,0,0,0,0,0,1.78,0
