stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,48.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.67,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.28,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.53,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,10.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0.89,0,0,0,0,0
 24-34,0,0,0,0,0,40.77,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,40.66,0,4.16,0,0,0,0,0,7.37,0,0,0,0,0
 36-46,0,0,0,0,0,193.92,0.94,0,0,0,0,1.3,0,0,0,0,0,1.01,0,0,0,220.48,0,5.52,0,0,0,0,0,11.08,0,0,0,0,2.58
 48-58,0,0,3.09,1.15,0,1298.34,0,2.94,0,15.83,0,0,0,0,4,0,0,3.57,0,0,0.86,380.3,0,1.69,0,0,0.68,0,0,53.98,0,0,1.51,0,1.43
 60-70,0,0,0,0,0,6315.39,0,0,1.64,25.28,0,0,7.69,5.54,0.89,0,0,4.22,0,1.28,1.61,413.27,0,1.22,0,0,1.01,0,0,40.94,0,0,7.87,0,3.54
 72-82,0,0,17.63,15.68,0,7509.86,2.48,0.8,2.91,65.69,1.55,0,0,0,0.57,0,4.21,41.79,0,1.06,2.03,387.34,0,6.25,2.4,0,7.55,0,0.79,34.48,0,0.66,0,1.96,2.29
 84-94,0,0.66,12.86,2.6,0,5848.52,0.56,0.91,2.2,93.84,0,0,3.26,0,0,0,0,48.34,1.03,0,4.61,337.97,0,7.17,0,1.59,9.84,0.58,0.69,44.22,0.61,0,7.42,1.49,0
 96-106,0,0,18.06,8.39,0,5342.08,3.01,1.75,0,55.07,0.85,1.69,3.94,0,2.14,0,2.45,34.74,0,5.27,6.34,293.68,0,2.07,2.11,0,9.29,0.7,0,8.9,4.1,0,6.16,2.56,0
108-118,0,0,32.28,8.52,6.89,4433.65,0.65,1.22,5.39,42.27,2.04,0,2.8,0,1.07,0.96,4.45,23.83,4.21,6.8,7.48,477.66,1.14,6.07,0,0,6.49,2.96,0,8.39,0,0.99,6.56,6.2,0
120,0,0,52.22,1.91,0,3923.57,1.01,0,0,58.29,2.76,0,4.22,1.25,8.35,0,0,15.7,0,0,3.94,983.97,0,0,0,0,16.05,0,0,0,0,0,0,0,0
