stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,heart,immune,lateral_line,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,somites,spinal_cord,xanthophores
  3-4,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,19.84,0,6.12,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,14.66,0,0,0,0,0,0
 14-21,0,1.4,0,0,0,0,0,0,0,2.06,1.19,0,0,0,2,0,0
 24-34,0,0,0,0,0,0,0,1.08,0,0,2.33,0,0,0,0,0,1.3
 36-46,0,0,0,0,0.73,0.56,0,0,0,0,11.36,0,0,0,0,0,0
 48-58,0,0,1.41,0,0,0,0,0.38,0,0,0.71,0,0,0,0,1.32,0
 60-70,0,0,2.31,0,0,0,0,0,0,0,5.41,0,0,0,0,0,0
 72-82,0,0,0.82,0,0,0,1.47,4.12,0,0,9,0,0,0,0,0,0
 84-94,0,0,0.63,0,0,0,2.02,0.9,0,0,0,0,0,0.59,0,0,0
 96-106,0,0,0,0,0,0,0,4.73,2.72,0,0,0.62,0,0,0,0,0
108-118,0,0.43,0,0.86,0,0,0,2.19,0,0,0,0,0,2.74,0,0,0
120,0,0,0,0,0,0,0,1.79,0,0,3.01,0,0,0,0,0,0
