stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,36.15,768.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.49,0,0,0,0,0,0,0,0,0
  5-6,27.68,317.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.73,0,0,0,19.54,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,102.83,0,0,0,0,0,0,0,0,32.44,0,0,0,19.03,0,0,8.66,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.62,0,0,0,0,0,0,0,214.68,0,0,0,0,0,0,0,0,58.27,0,0,0,18.43,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.15,2.28,13.19,1.07,0,1.47,0,0,1.28,67.95,0,2.64,0,0,0,0,0,0,33.93,0,2.96,0,0,0,6.75,0,0.86,1.22,15.37,0,0,0,0,0
 24-34,0,0,2.82,0,1.27,0,0,13.17,0,0,1.49,1.83,0,5.29,1.08,0,0,3.36,0,1.45,250.13,0,6.85,0.68,0,0,17.21,0,0,0,53.92,0,0,3.88,0,0
 36-46,0,0,0.73,0,0,0,0,20.07,1.06,0.66,0,5.16,0,7.08,1.54,10.49,1.06,6.54,0,0,484.08,0,5.93,7.32,0,0,1.33,0,0,0,99.09,0,0,0.75,0,0
 48-58,0,0,0.4,0,2.69,2.12,0,196.52,0,8.21,0,10.96,0,5.32,1.63,2.63,4.06,5.7,0,0,851.21,0,9.12,3.22,0,0,5.33,0,0.46,0,106.87,0,0,0,0,0
 60-70,0,0,0.86,0,5.46,0,0,527.56,0.74,35.11,1.27,13.45,0,0.93,0,0,11.1,20.43,0,0,972.96,0,2.32,2.49,0,0,8.8,0,0,0,134.51,0,0,3.63,0,2.19
 72-82,0,0,5.83,0,9.83,0.95,1.16,437.82,0,19.76,8.31,1.95,0.72,1.16,1.39,0,14.11,9.42,1.09,1.82,757.58,0,3.86,1.09,0,0.72,4.99,0,0.9,0,88.52,1.69,0,5.83,0.76,0
 84-94,0,0,9.47,0,8.9,3,0,410.06,0.86,18.71,18.62,11.86,0.77,3.51,2.33,10.38,10.68,15.3,0,0,552.23,0,4.72,1.22,0,0,7.92,0,0,0,73.76,1.67,1.28,6.24,3.28,0
 96-106,0,0,8.07,0,6.17,20.71,0,338.55,1.68,9.28,13.72,1.06,0,0.63,2.52,4.97,18.99,27.49,0,0.79,445.57,0,3.07,3.59,0,0,5.1,0,1.96,0,36.01,2.79,0,0,0,0
108-118,0,0,3.75,0,16.07,5.86,0.45,262.19,0,17.98,25.24,0,0.87,2.21,1.11,3.26,11.19,20.32,0,1.54,582.6,0,5.14,5.74,0,0,18.35,0,0,0,25.2,0.71,0,6.28,0,3.75
120,0,0,1.22,0,6.01,0,0,174.36,0,37.98,9.84,0,0,0,0,0,38.84,10.65,0,2.52,815.97,1.1,12.55,18.68,0,0,16.58,0,1.86,0,31.78,1.99,0,14.71,0,8.94
