stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,neural,notochord,otic,paraxial.mesoderm,periderm,vasculature
  5-6,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69,0,3.89,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19,1.25,0,0,0,0
 24-34,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0,0
 36-46,0,0,10.72,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0
 48-58,0,0,0,6.2,0,0.39,0,0,0,0,0.4,0.5,0,0,0.55,1.06,0,0.44,0,0,0
 60-70,0,0.62,0,0,0,0,0,0,0.73,0,0,0.98,0,0,0,0,0,0.63,0,0.85,0
 72-82,0,0,0,0,1.03,0,1.62,4.33,1.23,0,0,0.49,0,0,0,6.25,0,8.84,0,0,0
 84-94,0,0.81,0,2.67,0,0,0,0,2.59,0,0.59,0.58,3.11,0,0,2.58,0,1.18,0,0,0
 96-106,0,0,0,1.03,0,0,0.93,0,1.24,1.25,1.84,0,2.99,0,0,0,0,0,0,1.25,2.35
108-118,0,0,0.56,2.35,0,0,0,0,2.92,0.41,0.81,2.99,0,2.46,0,0,0,0,0,0,2.71
120,0,0,0,8.95,1.66,0,0,0,1.31,0,4.83,0,0,0,0,4.52,0,0,0,0,3.28
