stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,121.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.43,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.02,358.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.05,0,17.45,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.4,5.25,3.38,0,0,3.71,0,0,0,0,5.85,0,0,0,0,0,0,0,0,0,0,0,200.5,10.94,0,0,64.42,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.72,28.69,0,0,12.51,0,0,0,0,6.95,0,0,0,0,0,0,0,0,0,0,0,208.43,0,0,0,23.84,0,0,6.79,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.1,2,1.65,0,0,1.56,0,0,0,0,0,0,0,0,0,2.27,0,0,1.84,35.76,5.31,0,0,0,0,3.32,0,6.2,0.91,1.33,3.88,22.43,0,0,0,0,0
 24-34,0,0,0.6,4.3,0.61,10.6,0,0,2.92,0,0,0,0,0,0,0,0,0,8.08,0,0,3.19,101.04,0.66,0.96,4.03,0,0,3.44,0,0,0,0,0,23.18,0,0,1.88,0,0
 36-46,0,0,0,0.64,0,4.42,0,0,1.56,0,0,0,0,0,0,0,0,0,5.56,0,0,1.8,69.78,0.55,0,0,0,0,0.91,0,0,0,0,0,17.86,0,0,0,0,0
 48-58,0,0,0,0,0,9.47,0,0,6.07,0,0,0,0,0,0,0,0,5.06,11.36,0,0,1.53,44.35,0,0,0.72,0,0,2.28,0,0,0,0,0,15.12,0,0,0.53,0,0.82
 60-70,0,0,0,0,0,13.96,0,0.87,4.51,0,0,0,0,0,0,0,0,0,8.65,0,0,0.79,59.26,0,0,1.62,0,0,0,0,0,0,0,0,11.02,0,0,2.67,1.25,0
 72-82,0,0,0,3.27,4.3,20.32,0,0,6.89,0,0,1.23,2.35,0,0,0,0,0,22.6,0,0,1.64,43.48,0,0,0,0,0,4.04,0,0,0,0,0,8.91,1.69,0,0,0,0
 84-94,0,0,0,0.87,2.99,14.62,0,1.27,0.66,0,0,0,2.17,0,0,0,0,0,14.77,0,0,0.75,21.82,0,0,0,0,0,8.98,0,0,0,0,0,6.38,0,0,0,0,0
 96-106,0,0,0,2.46,8.03,8.92,0.82,0,10.87,3.81,0,0,3.66,1.44,0.67,0,0,0.67,16.88,0,2.2,5.67,26.13,0,3.31,0,0,0,1.17,0,0,0,0.6,0,0.73,0,0,0,0,0
108-118,0,0,0,5.04,1.43,17.04,1.14,1.47,8.88,1.72,0,0,1.38,0,0.71,0,1.27,0,6.7,0.96,0,1.22,37.3,0,0,0,0,2.83,6.26,0,0,0,0,0,4.13,0,0,2.74,0,0
120,0,0,0,2.71,0,32.31,0,0,5.13,0,0,3.83,7.08,0,0,3.15,0,0,0,0,0,1.8,48.77,0,1.29,6.93,0,0,1.71,0,0,0,0,0,0,0,6.25,6.2,0,0
