stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pgc,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,45.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.15,0,0,23.94,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.16,0,0,0,0,0,0
 14-21,0,1.23,0.94,0.93,0,0,0,0,0,0,0,0,0,0,0,0,3.1,10.97,5.27,0,0.8,1.23,1,5.73,0,0,0
 24-34,0,0,1.75,8.15,0,3.31,0,0.67,0,0,0,0,0.76,3.84,0,0,0,29.94,1.03,0,0,0,0,18.78,0,0,0
 36-46,0,0,0,7.7,0,0,0,0,0,0,0,0,0,4.67,0,0,0.56,44.26,0,0,0,0,0,12.09,0,0.82,0
 48-58,0,0,2.1,14.24,0,0.73,0,0,0.45,0.48,0,0.44,0,4.2,0,0,0,29.94,0,0,0,0,0,3.75,0,0.5,0
 60-70,0,0,0,21.71,0,6.26,0,0,0,0,0,0,0,6.53,0,0,0,26.93,0,0,0,0,0,9.47,0,0,0.73
 72-82,0,0,0,47.04,0,3.01,0,0,0,0,0,0,0,5.4,1.59,1.19,0,52.32,0,0.51,0,0,0,17,0,3.93,0
 84-94,0,0,0,20.89,0,0,0,0,0.71,0,0,0.58,0,2.77,0,1.13,0,26.96,0,0,0,0,0,0,0.71,3.59,1.73
 96-106,0,0,0,24.04,0,0,0.66,0,1.05,0,0,0,0,3.88,1.49,0,0,21.63,0,1.38,0,0,0,0,0,0,0.68
108-118,0,0.79,5.07,13.07,0.94,1.78,0.53,0,0.58,0,0,0,0,1.07,0,0,0,28.98,0,0,0,0,0,3.77,0,1.54,0
120,0,0,0,0,0,0,0,0,0,0,1.59,0,0,1.08,0,0,0,26.38,2.49,0,0,0,0,0,0,0,0
