stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,70.86,2559.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.73,0,0,0,0,0,0,0
  5-6,212.14,3797.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.1,0,0,37.81,82.38,0,0,0,0,0,0,0
  7-9,59.02,68.17,89.21,0,0,203.28,0,0,0,118.04,0,0,0,0,0,0,0,0,2473.81,68.99,0,599.38,0,0,0,0,0,0,0,0
 10-12,0,30.62,94.93,0,4.74,189.39,0,0,0,43.34,0,0,0,0,0,0,0,0,1361.26,8.75,0,531.99,0,8.86,89.2,5.88,0,0,0,0
 14-21,0,0,0,4.33,0.82,1.25,0,0,1.2,0,0,0,0,0,0,0,0,0.98,13.19,0,1.38,0,0,1.82,0,2.14,12.74,0,0,0
 24-34,0,0,0,4.04,0,3.04,0,1.05,0,0,0,0.69,0,0,0,0.71,0,1.25,20.42,0,0,0,2.44,0,0,0,3.72,0,1.09,0
 36-46,0,0,0,1.26,0,1.53,0,0,0,0,0,0,0,0,0,1.01,0,0,6.66,0,0,0,12.57,0,0,0,2.35,0,0,0
 48-58,0,0,0,0.38,0,1.22,0,0,0,0,0.71,4.72,0,0,0,0.63,0,0,4.32,0,2.29,0,1.27,0,0,0,0,0,0,0.79
 60-70,0,0,0,2.48,0,1.6,0,0,1.27,0,0,0,0,0,0,0.66,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0.6,0,3.56,0,0,1.4,0,0.56,0,1.09,0,0,0,0,1.23,0,0
 84-94,0,0,0,1.34,5.86,1.78,0,0,0,0,0,0.69,0,0,0,0,0.92,1.18,2.2,0,0,0,8.21,0,1.09,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,1.5,0.71,1.85,0,0,0,0.88,0,0,0,0,0,0,0
108-118,0,0,0,1.67,0,0,0,0,0,0,0,0,2.12,0,0.42,0,0,0,2.01,0,1.1,0,9.45,0,0,0,0,0,0,0.89
120,0,0,0,4.42,0,0,1.12,0,0,0,0,0,0,0,0,12.96,0,0,3.22,0,0,0,2.81,0,0,0,0,0,0,0
