stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,37.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.53,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.23,1.97,4.02,0,1.92,0,0,1.2,1.2,0,0,0,0,0,0,0,0,2.19,0,0,1.82,11.98,1.28,0,0,0.99,0,0,0,2.57,0,190.22,6.87,15.79,0,0,0,0,0
 24-34,0,0,0.83,5.16,0,7.01,0,1.33,3.75,0,0,1.22,0,0,0,0,0,0,7.74,0,0,3.28,34.74,1.55,1.36,0.74,0,0,1.57,0,0,0,108.45,1.1,22.27,0,0,2.24,0,0
 36-46,0,0,0,0.59,0,0.61,0,1.27,1.3,0,0,0.71,0,0,0,0,0.57,0,19.37,0.59,0,5.8,53.29,0,1.12,2.04,0,4.12,2.68,0.65,0,0,53.17,0,22.48,0,0,0.63,0,2.01
 48-58,0,0,0,2.78,0,26.58,0,0,7.53,0,0,1.16,0,0.46,0,0.38,0,0,20.26,0,0,2.23,69.5,0,0,0,0,0,1.85,0,0,0,11.76,0,21.38,0,0,0.93,0,8.09
 60-70,0,0,0,7.11,0,0.59,0,0,26.17,0,0,0,0,0,0,0,1.7,0,34.06,0,5.65,1.02,62.66,0,0,1.03,0,0.96,11.4,0,0,0,0,0,6.65,0,1.06,0.97,0,0
 72-82,0,0.79,0,3.85,0.81,28.58,0,6.8,18.53,8.36,0,0,2.18,0.63,0,2.34,8.19,2.44,92.78,0,3.33,6.52,160.57,2.7,3.76,7.72,0,1.4,4.58,0,0,1.12,0,0,18.3,0,0.85,2.24,5.64,5.2
 84-94,0,0,0,4.6,0,58.24,2.94,0,19.84,4.71,1.22,0,0,0,0,0,8.71,0,60.52,0,4.52,4.73,95.48,0,0.66,0.6,0,0,19.48,0,0,2.33,1.05,0,13.92,0,3.42,1.63,0,1.25
 96-106,0,1.19,0,4.07,2.8,43.07,3.53,3.29,23.2,9.83,0,1.76,0.77,0.66,0,2.21,18.7,0.78,70.74,0,4.5,1.19,108.74,0.87,3.62,7.14,0,0,32.3,0,0,0.6,0,0,5.21,0.66,1.87,8.88,2.07,0
108-118,0,0,0.65,4.62,0.76,51.21,1.94,0.83,21.23,13.27,0,1.03,1.71,4.01,2.13,0.87,29.39,1.49,97.66,0,0.97,3.22,176.23,0,3.33,8.31,0,5.99,13.52,0,0,2.36,0.43,0,9.62,0.52,3.84,3.41,4.29,0.62
120,0,0,1.66,3.64,0,42.28,0,2.45,34.61,23.33,0,0,0,1.07,0,9.97,14.31,0,106.75,2.51,0,7.86,266.12,0,4.59,15.66,0,0,30.56,0,0,1.13,0,0,6.18,0,0,0,4.8,0
