stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,lateral.line,mesenchyme,muscle,neural,olfactory,otic,periderm,somites,spinal.cord,taste,vasculature
  7-9,3.67,0,0,0,0,0,0,0,0,0,0,0,8.09,0,0,0,0,0,0,0
 10-12,0,6.43,0,0,0,0,0,0,0,0,0,0,13.06,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,1.12,0,2.74,0,0,0.98,0.87,6.67,0,0,0,1.56,6.49,0,0
 24-34,0,0,0,0.85,0,1.61,0,0,0,0.62,0,0,28.65,0,1.32,0.64,0,1.83,0,0
 36-46,0,0,0,3.2,0,0,0,0,0,0,0.78,1.11,34.55,2.93,0,9.67,0,9.33,0,0.73
 48-58,0,0,0.43,10.88,2.98,0,0,0,0.5,0,0,0.38,51.17,0,0,1.52,0,7.28,0,0
 60-70,0,0,0,2.33,0,0,6.65,0,0,0,0,0,16.31,0,0,0,0,1.94,0,0
 72-82,0,0,0,2.85,0,3.25,0,0,0,0,1.32,0,5.37,0,0,0,0,3.78,0.71,0
 84-94,0,0,0.64,0.73,0,0,0,0,0,0,0,0,11.71,0,0,1.37,0,4.03,0,0
 96-106,0,0,0,2.74,0,1.68,0,0,0,0,0.9,0,18.77,0,0,3.01,0,0,0,0
108-118,0,0,0.43,11.05,0,0.72,0,0,0,0,0,0,18.96,0.5,0,0,0,0,0,0
120,0,0,2.09,7.36,0,0,0,0,0,0,0,0,14.68,0,0,0,0,0,0,0
