stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,89.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.22,294.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,15.02,0,4.46,0,0,0,54.83,0,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,369.25,7.86,0,0,121.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,45.07,0,38.64,0,0,0,88.22,0,0,0,26.4,0,0,0,0,0,0,0,0,0,0,0,1343.62,63.9,0,0,443.38,0,0,10.93,0,68.33,0,24.83,5.32,0,0,0,0,0
 14-21,0,0,6.04,0.93,33.8,27.38,0,12.45,0,205.7,0,0,0.85,0,0,0,0,0,0,42.35,0,0,50.54,440.69,32.2,5.53,87.08,53.01,0,1.79,6.37,66.57,301.28,3.77,263.8,1029.3,0,0,0,0,0
 24-34,0,0,2.72,0,2.31,0,0,23.88,10.62,223.08,0,0,0,0,0,0,1.55,0,0,11.03,0,0,19.31,410.54,14.92,35.7,7.31,0,0,0,0,0.83,43.69,10.41,50.76,577.51,0,0,0,0,1.3
 36-46,0,0,0,0,0.73,0,0,19.99,0,181.56,0.61,0,1.71,0,0,0.61,0,0,0,10.83,0,0,4.81,401.32,0,39.11,3.07,0,0,2.39,2.42,0,13.46,0,2.69,351.72,0,0,6.43,0,0
 48-58,0,0,0,0,0,0,0,87.15,0.56,220.26,0.69,0,0,0,0,0,0.87,0,0,2.68,0,0,0.85,324.37,0,20.2,4.5,0,0,0.51,0,0,2.83,0,0,343.89,0,0,0.39,0,0.47
 60-70,0,0,1.23,0,0,0,0,134.04,0,220.09,0.63,0,0,0,4.64,1.52,1.57,5.16,0,2.97,0,1.84,2.15,343.53,0,19.66,49.62,0,1.65,0,0,0,2.87,0,0,197.71,0,0,0,0,1.15
 72-82,0,0,9.48,0,0.63,7.89,0,97.34,0,258.22,0.67,0,0.89,0,0,9.06,0.79,0,5.42,7.04,1.79,1.12,1.55,294.68,0,38.75,15.74,0,0,0.79,0,0,1.96,0,0,127.02,0,0,1.65,0,0
 84-94,0,0,9.44,1.01,6.86,0,0,97.85,2.72,174.22,7.75,0,0,0,0,11.81,7.49,0,0,3.19,1.18,0,0,247.88,0,24.76,13.79,0,0,0,1.4,0,9.17,0,0,156.43,0,0.74,0,5.71,0
 96-106,0,0,2.75,0,0,0,0,56.17,4.04,174.55,1.06,0,0,1.47,0,5.13,6.79,0,0.86,7.82,0,0.59,2.36,151.37,0,50.32,16.32,0,0,0,0,0,6.12,0,0,87.5,0,0,0,1.36,0
108-118,0,0,7.46,0,3.02,6.39,0,55.5,5.18,166.64,5.82,0,0,0,0,38.64,7.61,2.23,0,22.62,0,0,2.42,250.49,0,38.09,9.92,0,0,0.54,0,0,6.98,0,0,97.44,1.28,0,0.93,6.05,0
120,0,0,1.37,0,5.39,0,5.29,37.84,3.03,141.04,0,0,0,1.51,0,5.68,1.15,0,0,5.38,0,1.38,0,349.72,0,10.56,6.78,0,0,0,0,0,1.56,0,0,81.13,0,0,0,42.86,0
