stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.89,851.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.68,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.52,735.75,0,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0,49.33,27.67,0,0,0,0,36.48,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.14,27.75,0,26.11,0,0,0,23.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482.77,0,0,0,75.97,0,0,4.81,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.79,0,27.4,0,5.34,0,27.48,0,0,0,0,17.41,0,0,0,0,0,0,0,0,0,0,366.18,30.27,0,0,71.85,0,0,0,0,16.02,0,5.73,0,0,0,0,0,0
 14-21,0,0,0,4.24,32.36,6.27,0,7.99,0,0,2.26,0.85,5.67,0,0,0,0,0,1.41,4.82,0,0,9.51,126.12,13.36,0.98,2.37,1.19,0,2.21,0,22.96,0.81,1.26,16.66,40.4,0,0,0,0,0
 24-34,0,0,0,0,2.85,0.8,0,10.06,0,0.86,3.73,0,0,0,0,2.01,0,0.72,0,15.73,0,0,11.44,112.92,0,0.79,1.35,0,0,7.25,0,0,1.73,2.34,2.4,22.84,0,0,5.64,0,0
 36-46,0,0,0,0,0.9,2.72,0,9.52,6.48,0,3.62,0,0,0,0.57,0,3.71,0,2.07,13.47,0,0,2.67,133.28,0,2.37,0.65,0,0,2.5,0,0,0,0,0,21.49,0,0,13.17,0,0
 48-58,0,0,0.42,0,3.06,2.76,0,25.47,0,3.46,19.84,1.1,0,0.67,0,4.84,0,0,0,6.42,1.12,0,1.85,79.58,0,0,0.41,0,0,4.77,0,0,0,0,0,19.34,0,0,0,0,1.72
 60-70,0,0,0,0,0,0,0,29.5,4.47,0,18.21,0,0,1.09,0.63,0,0,0,0,17.94,0,2.4,1.02,66.81,0,0,0.63,0,0,3.2,0,0,0,0,0,10.86,0,0,2.52,0,5.87
 72-82,0,0,0,0,7.28,0,0.72,42.22,0,0.51,21.17,3.99,0,2.59,0,0,0,0.76,0,18.12,0,0.81,1.01,65.97,0,1.98,0,0,0,3.29,0,0,0.9,0,0,22.29,0.51,0.56,2.13,0,0
 84-94,0,0,0,0,3.5,8.86,0,16.28,3.29,0,16.25,0.92,0,0,2.88,3.42,0.88,0,3.62,10.48,4.34,1.91,4.61,62.61,0.6,0,4.05,0,0,12.92,0,0,0,0,0,1.21,0,0,3.92,0.68,0
 96-106,0,0,1.41,0,4.08,1.9,0,21.3,0,0,20.28,3.06,0,0,0.57,1.37,1.18,1.24,0,19.89,0,0,0,68.72,0,9.67,0.69,0,0,16.86,0,0,0,0,0,10.12,0,0,2.37,0,4.58
108-118,0,0,0,0,7.53,1.46,0,10.46,0,0,30.64,2.76,0,0,3.75,0.43,4.31,0.42,2.16,19.84,0,0,6.96,74.43,0.56,2.58,0.54,0,2.92,11.07,0,0,1.41,0,0,14.49,0.58,0,1.69,2.72,0
120,0,0,0,0,5.27,2.93,0,2.36,0,0,30.41,6.96,0,0,5.88,2.26,1.91,0,0,8.22,0,0,6.06,84.36,0,1.32,1.29,0,0,4.51,0,0,0,0,0,0,0,0,0,1.05,0
