stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,71.04,981.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.45,0,0,0,0,0,0,0,0,0
  5-6,30.28,770.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.61,0,0,0,0,26.51,0,0,0,0,0,0,0,0,0
  7-9,5.41,0,17.34,0,0,10.52,0,0,0,0,6.16,0,0,0,0,0,246.28,22.63,0,0,86.1,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.84,6.89,0,0,0,0,0,0,0,0,0,0,0,0,0,66.73,20.94,0,0,27.45,0,3.03,0,3.51,0,0,0,0,0,0
 14-21,0,0,0,0,0.82,2.94,0,0,2.26,0,0,0,0,7.92,0,5.27,21.84,0,0,0,0,0,0,7.66,1.28,0,3.91,8.57,0,1.23,0
 24-34,0,0,0.81,1.95,1.74,0.69,0,0,0,0,0,0,0.87,16.02,0,1.87,26.92,0,0,0,0,0,0,0,1.06,0,1.9,10.47,0,1.42,0
 36-46,0,0,0,6.39,0,1.05,0,0.82,1.56,0,0,0.73,0,5.54,0,0,7.71,0,0,0,0,0,0,0,0,0,0,4.23,0,0.77,0
 48-58,0,0,0,0,0,1.44,5.9,2,0,0,0,0,0,14.42,0.83,0.49,2.85,0,0,0,0,0,0,0,0,1.48,0,5.35,0.61,10.02,0
 60-70,0,0,0,4.79,0,1.56,0,0,1.46,0,0,0,0.6,6.97,2.41,0.68,1.01,0,0,0,0,0,0,0,0,0,0,0,0,4.75,0
 72-82,0,0,0,0,8.42,3.28,0,0,5.14,0,0,0,1.81,6.77,0,0,8.69,0,1.38,0,0,0,0,0,0,0,0,0,0.99,7.64,0
 84-94,0,0,0,0.57,0.74,0,0,0.67,11.91,0,0,0,4.08,7.47,0,0,3.81,0,0,0,0,0,0,0,0,0,0,0,0,3.32,1.07
 96-106,0,0,0,0,0,1.29,0,0.8,1.29,0.66,0,0,2.61,4.88,0,0,0.68,0,0,0.93,0,0,0,0,0,0,0,0,0,1.32,0
108-118,0,0,0,0,0.54,0.5,0,0,2.52,0.43,0,0.69,6.2,8.65,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0,0,2.16,0
120,0,0,0,1.09,6.15,0,0,0,0,0,0,0,6.02,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
