stage,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,periderm,spinal_cord,taste,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,13.99,0,0,0,0,0
 14-21,1.53,0,0,0,0,0,5.84,0,0,0,1.97,0,0,0,1.67,0,0,0
 24-34,0,1.4,0,0,0,0,71.56,0,1.41,0,8.45,0,0,0.74,0,0,0,0
 36-46,0.71,0.66,0.62,0,0,0,68.02,0,0,0,2.83,1.15,6.69,0,0,0,0,0
 48-58,4.94,0.42,0,0.78,0,0,22.8,0,0,1.54,1.72,0,1.04,0,0,0.73,0,0
 60-70,1.99,0,0,0.58,0,0,21.35,0,0,0,0.85,0,5.85,0,0,0,0,0
 72-82,9.83,0,0,1.44,0,1.25,20.97,0.79,0,0,0,0,0,0,0,6.93,0.91,0
 84-94,10.71,0.65,0,1.88,0,4.41,14.23,0,0,0,1.19,0,1.83,0,0,0,5.15,0
 96-106,36.17,1.41,0,1.51,0.8,7.73,7.04,0,0,1.41,1.32,0,1.77,0,0.79,0,3.95,0
108-118,30.2,8.56,0,0,0.52,12.42,9.15,0,0,0,0.57,0,0.94,0,0,0,5.8,0
120,14.78,0,0,0,0,11.12,8.72,3.02,0,0,0,3.76,0,0,3.06,0,1.83,15.67
