stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,648.99,8496.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.9,0,0,0,0,0,0
  5-6,310.81,4144.77,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,236.68,0,0,0,66.51,66.67,0,0,0,0,0,0
  7-9,24.64,11.16,0,21.91,0,0,14.27,0,0,0,6.94,0,0,0,0,0,0,445.62,16.26,0,0,97.43,0,38.88,0,0,0,0,0
 10-12,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,65.56,0,0,0,0,0,32.96,0,0,0,0,0
 14-21,0,0,0,0,2.96,0,0,0,6.01,1.33,1,0,0,0,0,4.35,2.41,1,0,1.51,0,0,18.56,2.13,0,4.03,0,0,0
 24-34,0,0,0.71,0,3.22,0,0,0,5.46,0,0.66,0.69,0.86,0,0,1.74,1.65,28.58,0.75,15.85,0,0,30.93,0,0,14.95,0,0,0
 36-46,0,0,0.98,0,7.35,0,0,0,2.06,0,1.26,0,0,0,0,4.2,0,7.56,0,24.15,0,0,35.26,0,0.72,11.31,0,0.64,0
 48-58,0,0,1.21,0,6.09,0,1.23,0,4.45,0,0,0,0,0,1.98,6.36,0.59,4.3,0,9.95,0,0,7.91,0,0,12.07,0,0,0
 60-70,0,0,1.23,0,0,0,0.59,0,10.18,4.11,0,0,0,0,0,5.99,0,24.9,0,13.43,0,0,2.7,0.64,0,0.89,0,0,0.87
 72-82,0,0,5.23,0,0,4.07,1.08,3.99,6.87,2.98,0.59,0,0,0,0,7.95,1.03,36.19,0,21.24,0,0,2.31,0,0,6.78,0.53,0,0
 84-94,0,0,15.68,0,1.28,2.96,1.39,0,12.24,4.79,0,0,0,3.06,0.57,5.66,0,30.05,0,13.12,0.72,0,2.21,0,0,2.7,0,0,0
 96-106,0,0,7.19,0,3.56,6.08,4.09,0,1.6,9.6,1.06,0,0,1.33,0,8.23,0,30.93,0,28.59,0,0,5.36,0,0,1.9,2.19,0,0
108-118,0,0,7.27,0,5.53,1.66,0.82,0,11.31,0.73,0,0,0,4.12,0,2.42,0,30.85,0,22.79,1.14,0,1.17,0.64,0,0,0.55,0,0
120,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,6.82,0,43.67,0,1.15,0,0,1.37,0,0,4.36,0,0,0
