stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,126.22,1957.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.06,0,0,0,0,0,0,0,0,0,0
  5-6,55.91,1708.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.61,0,0,0,17.86,0,32.25,0,0,0,0,0,0,0,0,0,0
  7-9,58.17,6.57,0,33.06,0,0,0,54.19,0,0,0,0,0,50.11,0,0,0,0,0,0,0,0,0,0,0,594.89,59.04,0,0,365.34,0,3.37,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.72,0,100.96,0,4.44,0,43.75,0,0,0,0,0,28.31,0,0,0,0,0,0,0,0,0,0,0,976.16,391.33,0,0,1279.7,0,0,16.92,25.65,0,85.62,6.57,0,0,0,0,0
 14-21,0,0,3.56,0.86,57.98,10.69,0,20.61,0,0,0,23.89,1.13,0,0,0,0,0,0.92,0,2.15,17.37,0,0,43.39,612.73,48.73,15.79,17.77,16.31,0,4.16,325.32,10.31,10.51,437,267.39,0,0,0,0,0
 24-34,0,0,0.75,5.4,60.56,3.36,0,161.14,0,6.87,1.31,41.68,1.4,0,2.17,0.6,3.39,2.21,4.74,0.76,0,134.76,6.57,0,75.46,2032.86,27.47,40.31,18.79,0,0,14.54,0.85,7.85,1.19,35.25,656.3,0,0,23.71,0,11.94
 36-46,0,0,0,0,47.89,3.42,0,550.27,0,11.38,1.55,113.71,1.17,0,3.43,0.65,0,1.77,4.08,0,0,119.53,3.3,1.94,33.23,2143.79,11.72,11.9,9.65,0,0,24.09,2.14,1.62,4.82,0,838.08,0,0,7.5,0,36.41
 48-58,0,0,0.44,0,34.12,1.99,0,824.93,0.61,7.93,3.26,167.52,0,0,5.1,0.89,0,21.06,5.56,3.86,0,146.03,2.05,6.13,23.91,1250.54,1.56,7.44,8.03,0,0,2.91,0,1.71,1,0,429.07,0,0,13.24,0,42.25
 60-70,0,0,0.62,0,49.03,0.59,0,962.89,3.7,16.01,3.92,102.52,6.78,0,10.4,0,0,15.52,5.13,1.41,0,163.16,5.53,9.91,7.81,606.65,9.24,5.55,2.15,0,0,6.46,0,3.12,0,0,130.03,0,0,6.62,2.52,22.84
 72-82,0,0,1.45,0,31.1,0,0,443.93,1.24,9.57,6.32,100.81,10.88,0,14.92,0.62,4.58,15.41,18.56,9.95,0,224.81,6.92,10.85,11.51,251.4,0.56,11.09,6.24,0,0,2.53,0,0,0,0,29.2,0.67,0.87,19.68,2.9,34.64
 84-94,0,0,4.94,0,77.54,10.17,1.97,481.25,0.56,20.85,3.87,89.46,12.34,0,3.8,0,1.54,7.25,23.46,0,6.93,295.5,8.86,10.51,16.33,286.2,2.37,12.95,9.61,0,0,7.06,0,2.01,0,0,33.53,8.04,2.29,6.45,17.15,13.88
 96-106,0,0,0.94,0,64.54,6.96,2.37,289.45,3.29,19.47,1.85,82.75,15.42,0,9.54,2.05,0.81,7.99,27.09,0.59,0,187.43,9.71,4.27,8.23,252.57,1.32,8.89,16.96,0,0,12.88,0,0,0,0,28.64,5.16,3.54,4.2,13.28,25.91
108-118,0,0,1.03,0,73.07,0.46,0.47,267.8,0,32.66,1.53,90.61,8.01,0,3.98,3.32,3.03,9.81,12.28,0.86,0,241.25,6.67,6.2,10.04,313.14,5.09,7.64,13.24,0,2.26,6.24,0,2.27,0,0,10.27,10.5,2.97,9.58,16.14,13.79
120,0,0,11.31,1.28,81.65,2.63,0,264.17,1.07,32.75,0,94.03,4.07,0,1.91,3.15,3.14,1.17,30.46,3.23,9.25,193.52,1.16,0,6.64,248.6,3.77,5.49,2.89,0,2.54,0,0,0,0,0,24.81,5.79,1.32,2.72,30.43,11.71
