stage,axial,endocrine.pancreas,epidermis,eye,fast.muscle,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,otic,periderm,somites,spinal.cord
 14-21,0,0,0.85,0,0,0,0,0,0,0,0,0,0,1.91,0,1.11,0.9,2.83
 24-34,0,0,0,0.8,0,0,0,0,0,0,0,0,0,17.96,0,5.78,0,2.17
 36-46,0,0,0,3.77,0,2.1,0,0,0,0,0,0,0,8.31,0,12.83,0,16.94
 48-58,0,0,0,0,0,0,0,0,0,0,7.16,0,2.07,12.84,0,8.66,0,0.67
 60-70,0.81,0,0,1.67,0,0,0,0,0,0,0,0,0,6.03,0,2.2,0,1.2
 72-82,0,0,0,0.65,0.6,0.62,0,0,0,3.4,1.16,0,0.57,14.95,0.97,13.99,0,0
 84-94,0,0,0.82,0.59,0,0,0,0,0,0,1.02,0.93,0,3.01,1.46,28.43,0,0
 96-106,0,0,5.19,18.34,0,0,1.41,0,1.75,0,2.21,0,1.21,20.49,0,43.42,0,1.12
108-118,0,1,5.53,8.2,0,0,0,0,0,0,1.31,0,0,5.69,0,21.17,0,0
120,0,0,0,0,1.57,0,2.84,1.23,0,0,14.08,5.13,0,18.25,0,31.08,0,0
