stage,eye,lateral.line,mesenchyme,muscle,neural,olfactory,periderm,pgc,pronephros,spinal.cord
 24-34,0,0,0,0,0.66,3.19,0.62,0,2.49,0
 36-46,0,0,0,0,0,3.18,0,0,8.12,0
 48-58,0,0,0,0,0.64,4.81,0,0,4.07,0.75
 60-70,0,0,0,1.06,0,6.43,0,0,4.67,0
 72-82,2.11,0,0,0,7.91,6.1,0,0,0.57,0
 84-94,0,0,0,0,0,6.01,0,1.4,2.1,0
 96-106,0,0,0,0,0,7.45,0,0,0.77,0
108-118,0,0.51,0,0,0.59,5.57,0,0,0.78,0
120,0,0,2.28,0,0,3.8,0,0,4.68,0
