stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,vasculature,xanthophores
  5-6,7.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0,18.79,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.02,0,37.13,0,0,0,0,0,0
 14-21,0,11.23,3.58,0,0,0.82,0,0,0,0,0,7.64,0,6.17,30.02,0,0,0,0,0,12.68,3.08,0
 24-34,0,6.38,2.88,0.76,0.92,0,0,0,0,0,0,2.6,0,2.09,34.79,1.03,0,4.3,0,0,4.45,1.13,0
 36-46,0,8.39,0.59,0,0,0,0,2.68,0,0,0,15.31,0.57,2.99,31.41,0.74,0,3.62,0.81,0,18.95,0,0
 48-58,0,2.16,0,0,0.58,0,0.69,0,0,0,0,6.21,0,0,33.56,0,0,11.71,0,0,0,0,0
 60-70,0,0,3.96,1.43,2.05,0,0,0,0,0,0,12.6,1.11,0,32.58,0,0,0,0,0,4.51,0,0
 72-82,0,0,12.21,0,2.13,0,0,0,0,1.61,0,2.76,0,0.73,33.43,1.35,0,0.77,0,0,0,0,0
 84-94,0,3.15,3.48,0,0,0,0,0,0,0,0,2.81,0,0.85,18.22,0,0,1.68,0,0,0,0,0
 96-106,0,1.32,5.34,0,0,0,0,0,0,0,0,3.37,0,1.42,31.04,1.43,0,1.63,0,0.61,10.27,0,0
108-118,0,1.26,7.56,0,0,0,0.63,0.53,2.45,0,2.99,3.47,0,0,13.07,1.28,0,4.93,0,0,0,1.11,2.7
120,0,4.9,4.76,0,0,0,0,0,0,0,0,6.41,0,0,5.7,0,0,0,0,0,0,0,0
