stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,429.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.39,0,0,0,0,0,0,0
  5-6,48.88,561.13,13.2,0,0,0,0,0,0,0,0,0,0,0,41.76,8.9,0,0,0,0,0,0,0,0,0,0,0
  7-9,19.49,5.3,13.32,0,0,3.65,0,0,32.36,0,0,0,0,0,305.13,90.57,0,0,46.53,0,0,0,0,0,0,0,0
 10-12,0,7.91,3.45,0,4.67,19.05,0,0,0,0,0,0,0,0,224.82,705.31,0,0,138.52,0,0,3.9,0,0,0,0,0
 14-21,0,0,0,9.33,0,1.54,0,0.96,0,0,0,1.36,0,0,41.2,613.94,0,0.89,6,0,2.6,0,1.69,11.4,0,0,0
 24-34,0,0,0,0.71,0,3.3,0,0,0,0,0,0,0,1.22,37.13,9.44,0,0,0,0.73,0,0,0,20.23,0,0,0
 36-46,0,0,0,0,0,5.07,0,0,0,0,0,4.03,0,0.56,53.38,0,2.16,0,0,1.67,0,0,0,3.57,0,0,0
 48-58,0,0,0,0,0,13.54,0.71,0,0,0,0,2.75,0,0,25.78,0,0,0,0,0.56,0,0,0,3.99,0,0,0
 60-70,0,0,0,0,0,14.1,2.37,0,0,0,0,0,0,0,10.77,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,11.66,1.43,0,0,0.49,0.72,2.4,0,0,4.93,0,0,0,0,0.7,0,0,0,0,0,4.65,0
 84-94,0,0,0,0,0.56,6.06,0,0,0,0,0,0.63,0,0,2.7,0,0,0,0,0,0,0,0,0,0.64,0,2.06
 96-106,0,0,0,0,3.25,1.91,1.23,0,0,0,0,0,0.8,0,9.18,0,0,0,0,5.64,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,1.54,0,0,0,0,2.03,0,0.41,0.76,0,0.87,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.73,0,0,0,0,0,1.54,0,0,26.87,0,0,0,0,0,0,0,0,0,0,0,0
