stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,32.85,1018.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.56,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.23,1317.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.24,0,0,0,7.5,17.73,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.58,47.35,0,16.27,0,0,89.69,0,0,0,0,0,140.39,0,0,0,0,0,0,0,0,0,0,0,1196.59,40.49,0,0,608.92,0,11.11,0,9.82,0,0,0,0,0,0,0,0
 10-12,0,7.07,0,11.81,0,0,6.58,0,0,0,0,0,51.39,0,0,0,0,0,0,0,0,0,0,0,1659.92,9.11,0,0,254.78,0,0,0,4.46,0,9.07,0,0,0,0,0,0
 14-21,0,0,2.15,0.98,30.3,22.88,75.21,0,0,0,60.88,0,0,1.63,0,0.89,0,2.77,0,0,1.3,0,0,0,3117.22,4.82,53.42,16.54,0.9,3.79,0,12.24,0.85,10.71,44.98,2137.42,0,0,3.55,0,0
 24-34,0,0,0.84,0,18.71,1.38,383.13,0,2.82,0,81.6,0,0.81,3.79,0,1.33,1.94,17.66,0.65,0,29.9,0,0,18.97,7824.13,2.59,50.56,25.04,0,13.12,0,0,4.37,0.63,5.35,2635.04,0,0,7.85,0,0
 36-46,0,0,0,0,10.3,5.34,742.75,0.68,0,0,97.56,0,0,0,0,0.67,0,8.04,0,0,15.77,0.9,0.71,9.06,8877.96,2.39,21.21,21.19,0,9.23,0,2.14,0.56,0,1.09,2955.6,0,0,40.97,0,5.23
 48-58,0,0,0,0,13.46,0,846.81,1.02,0.38,8.72,274.86,0.9,0,1.12,4.98,1.75,0,11,0,2,34.56,0,4.89,19.93,5363.26,4.58,9.53,16.61,0,5.94,0.65,0,0,0,0,2094.94,0,0,2.01,0,7.27
 60-70,0,0,0,0,12.07,0,650.45,0,0,0,263.47,0,10.25,0,5.85,0,0,14.94,0.74,0.72,24.89,3.75,0,2.69,3373.47,0,0.77,9.06,0,1.16,0,0,0,0,0,806.71,0,0,0.68,0,0
 72-82,0,0,0,0,17.59,6.13,404.87,0,0,0,211.19,0,0,0,4.21,0,0,16.95,0,0,28.37,0,0,1.12,2277.48,0,4.29,12.47,0,5.47,0,0,0,0,0,389.87,0.58,0,0,0.73,3.62
 84-94,0,0,0,0,11.27,6,338.5,0,0.92,0,163.93,4.48,0,0,6.5,0,0.62,4.72,0,0,24.47,0,0.57,1.46,1425.81,0,3.86,14.75,0,3.33,0,0,0,0,0,260.07,2.89,0,0,0,0
 96-106,0,0,2.19,0,17.56,0,257.86,1.02,1.57,1.41,153.45,0,0,0,6.01,0,0,6.44,0,0,18.82,0,0.66,7.77,1347.36,0,8.04,28.05,0,1.68,0,0,0,0,0,160.95,0,4.89,4.47,0,0
108-118,0,0,0,0,10.38,2.01,223.52,0,0.52,0,117.92,6.9,0,0.49,2.02,0,0,14.47,1.29,0,32.69,0,1.06,5.62,1695.06,0,5.66,12.47,0,0.47,0,0,0,0,0,74.79,0,0,4.41,0,0
120,0,0,0,0,12.61,0,254.28,0,0,0,156.64,0,0,0,6.25,0,0,2.89,0,4.02,12.26,0,4.76,1.04,1684.73,0,16.38,0,0,5.38,0,0,0,0,0,62.79,0,0,0,0,0
