stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.74,7.23,0,0,0,0.99,0,0,0,2.07,0,1208.97,299.56,7.98,0,0,0,0,0
 24-34,0.76,12.86,0,0,18.24,1255.15,0,0,19.81,0,0,7.78,1.56,0,0,0,6.23,4.24,17.12,0,0,110.67,270.29,2.9,2.5,1.71,0,0,16.76,0,1.55,5.91,1803.7,664.54,63.61,0,0,25.16,0,0.72
 36-46,0,11.74,7.64,0,49.91,2604.25,0.56,0,9.18,0,0,10.09,6.27,0.77,2.31,0.57,0,0,31.05,0,0,80.08,321.72,0.9,4.43,4.89,0,0,7.75,0,0,0,1924.24,41.47,73.45,0,0,2.09,0.78,9.4
 48-58,0,10.93,1.11,0,156.53,1986.79,0.83,3.33,34.32,0,0,2.9,1.76,0,3.8,0,9.56,13.76,61.89,0.53,0,83.42,495.76,8.36,6.47,1.65,0,0,8.23,0,0,0.43,1475.18,0,96.85,0,0,7.39,0,7.39
 60-70,0,17.81,0.6,0,137.88,1129.94,5.1,1.58,14.17,12.54,0,6.14,0.79,0,3.02,0,0,0,53.31,3.37,0.66,55.08,314.25,0,0,0,14.33,0,11.89,0,0,2.84,619.47,0,47.59,0,0,0.87,0,5.1
 72-82,0,4.89,1.74,0,147.17,627.14,1.29,5.39,31.55,17.78,0,1.94,1.46,0,4.36,0,5.03,2.67,37.02,0,0,49.1,237.22,0,3.1,0,0,0.83,9.56,0,0,7.93,260.45,0,24.36,0,0,12.63,3.49,15.62
 84-94,0,23.8,20.51,0,174.9,1312.49,0.74,0.94,29.74,83.26,2.66,13.45,7.1,0.8,0,0,18.35,1.13,61.32,1.03,0,57.1,261.11,5.19,3.75,0,0,2.93,53.94,0,0,13.07,531.23,0,54.25,2.75,1.8,0.84,2.31,6
 96-106,0,31.87,68.18,0.84,275.27,2108.1,0.58,5.83,52.29,103.47,0,20.39,10.53,3.31,0,2.25,26.76,0,134.07,6.86,3.2,99.35,455.5,0,3.01,6.84,3.61,3.47,78.21,6.78,0,11.7,423.96,0,17.42,6.83,1.26,12.36,3.34,11.39
108-118,0,30.95,25.16,0.46,236.38,1628.21,3.89,3.61,45.21,216.37,0,7.45,6.02,1.67,4.17,0.87,19.59,2.39,128.31,9.26,6.82,117.56,428.16,2.51,0,3.83,0,0,44.67,0,0,9.49,333.03,0,17.72,3.18,4.87,18.41,2.08,17.5
120,0,2.89,12.48,5.41,145.85,786.39,0,0,20.84,122.31,0,8.55,0,0,0,0,57.59,0,51.96,1.59,0,42.84,318.49,0,1.54,0,0,12.2,17.79,0,0,17.6,121.8,0,20.54,0,2.2,25.2,0,0
