stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.32,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,8.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24,0,5.14,52.01,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0
 36-46,0,0,0,0,0,0,486.57,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,210.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,5.28,0,0,4819.18,0,0,0,16.11,0,0,0,0,0,0,0,0.5,2.06,0,0,3.62,286.99,0,0.44,0,0,3.34,0,0,0,6.07,0,0,0,0,0
 60-70,0,0,0,16.52,0,0,58461.39,0,0,6.66,49.94,0,0,7.04,0,0,0,18.25,1.05,81.38,0,1.97,0.68,441.19,0,1.29,10.39,0,16.59,0,14.84,0,58.14,0,0,3.22,0,32.08
 72-82,0,6.04,0,184.45,27.11,1.16,96354.16,3.62,16.66,18.26,548.54,23.36,3.96,11.86,11.13,20.83,1.75,17.48,11.35,177.2,1.05,14.8,4.45,1804.09,0,8.38,14.2,8.28,14.03,0,0.64,0,104.93,0,5.6,16.51,3.77,32.04
 84-94,0,0,0,248.95,23.04,0,57572.09,5.94,20.94,9.55,722.58,8.43,7.17,3.35,0,21.91,8.24,2.69,0,182.09,3.48,22.04,24.53,1264.14,14.69,6.68,20.63,2.3,34,0,2.7,2.42,44.14,7.64,15.29,26.66,10.77,8.72
 96-106,0,4.3,0,218.39,68.29,3.01,59233.18,2.94,24.87,1.63,557.98,14.89,6.13,38.67,5.68,11.16,8.62,41.18,1.03,133.37,0,8.75,24.87,892.22,6.51,4.63,11.43,13.09,35.07,0,4.06,2.49,38.24,43.67,6.35,34.9,6.83,17.23
108-118,6.97,0,0,171.73,19.7,2.84,46304.61,1.84,15.37,10.98,345.66,12.98,3.6,27.64,1.5,4.21,0,10.06,0,81.92,0,13.73,30.49,1196.8,7.21,8.88,7.39,0,17.93,0,0,0,33.47,28.84,2.2,7.94,6.51,2.33
120,0,0,6.35,132.52,37.57,14.33,25802.01,2.03,10.7,28.88,659.05,7.37,0,3.93,0,18.91,0,19.69,0,131.92,4.23,3.2,3.2,1516.34,14.23,0,2.3,0,10.25,0,0,0,0,3.57,0,0,14.46,0
