stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,165.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.86,0,0,0,0,0,0
  5-6,63.2,256.22,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,13.52,0,0,16,0,0,0,0,0,0,0
  7-9,0,19.66,0,3.85,0,0,14.74,0,0,0,0,34.16,0,0,0,0,0,256.73,10.21,0,56.4,0,0,0,0,0,0,0
 10-12,0,6.23,0,0,0,0,10.14,0,0,0,0,0,0,0,0,0,0,268.45,0,0,123.4,0,0,3.43,0,0,0,0
 14-21,0,0,0,0,3.04,0,1.77,0,0,6.29,1.14,0,0,0,3.71,0,1.75,32.37,0,0,3.78,2.34,0.82,0,8.5,20.09,0,0
 24-34,0,0,0.67,0,0,0,2.14,0,0,1.06,0,0,0,0,2.92,0,0.62,29.55,0,1.41,0,0,0,0,0,8.77,0,6.47
 36-46,0,0,0,0,1.3,0,3.81,0.79,0,1.81,0,0,0,0,0,0,1.23,40.39,0,2.89,0,0,0,0,0,18.83,0,0
 48-58,0,0,0,0,0,0,19.61,0,0,0.7,0,0,0,0,2.92,0.93,0.99,60,0,0.56,0,0,0,0,0,8.6,0,4.83
 60-70,0,0,0,0,1.79,0,5.01,0,0,2.07,0,0,0,1.16,7.1,0,0,53.93,0,1.62,0,0,0,0,0,0.65,0,0
 72-82,0,0,0,0,3.53,0.53,23.14,0,4.77,2.73,0,0,0,0,9.88,0.93,1.17,59.59,0,1.42,0,1.3,0,0,0,0,0,0
 84-94,0,0,0,0,0.86,0,13.77,0,0,2.29,0,0,0,0,2.48,0.83,1.21,24.02,0,0.95,0,0,0,0,0,2.02,0,0
 96-106,0,0,0,0,0,0,13.03,0,0,0,0,0,0.73,0,3.51,0,5.94,12.4,0,0,0,1.33,0,0,0,2.82,0.83,0.91
108-118,0,0,0,0,0,0,17.73,0,0,0.52,0,0,0,0,2.81,2.19,0.91,30.76,0,0.59,0,1.05,0,0,0,0,0,0
120,0,0,0,0,1.78,0,19.79,0,0,0,0,0,0,0,0,2.13,0,45.59,0,0,0,0,0,0,0,9.91,0,0
