stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,31.76,0,0,0,5.41,0,0,0,0,0,1.15,0,0,0,0,0,3.76,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,25.35,0,8.67,0,21.13,0,0.72,0.64,0.65,0,0,0,0,2.7,0,0.99,19.85,0,3.29,10.46,0,1.9,0,5.59,1.51,2.94,0,0,0,0,0
 36-46,13.63,0,3.17,1.26,16.88,0,6.76,2.09,2.34,0,0,0,0,4.82,1.14,7.94,42.55,0,1.87,4.86,0,2.38,0,9.19,0,2.05,0,0,0,0,0
 48-58,5.76,0.43,3.19,0.46,44.8,0,1.79,1.12,0.62,0,0,0.59,0,2.1,0,0.41,20.76,0.55,2.9,14.83,0,0,0,6.84,0,4.45,0,0,0.4,0,0.56
 60-70,5.66,1.36,3.62,0,53.96,1.02,0,0,0,0,0,1.16,0,1.67,0,0.67,25.04,0,0,9.68,0,0,0,1.33,0,0,0,0,0,0,0
 72-82,13.23,2.02,4.74,6.57,64.88,0,0,0.51,3.4,2.71,0,0,0,19.89,0,0,62.02,0,0,7.01,1.06,0,0,2.59,0,0,0,0,0.86,0,0
 84-94,18.64,4.44,0,1.48,107.67,0,0,0.69,9.38,6.42,0,0,0.83,4.99,0,0,21.98,0,7.71,11.21,0,0.59,1.4,0.56,0,0,0.56,2.41,1.69,0,0
 96-106,15.22,4.29,8.43,1.38,77.3,0,0,0,10.46,6.14,0,0,14.22,25.76,0,0.93,42.47,0,2.01,2.96,4.46,1.95,0,8.56,0,0,0.73,0,0,2.34,5.35
108-118,24.49,13.27,9.24,4.72,109.36,0,0,0,4.15,6.66,0,0.56,17.93,11.37,3.58,0.95,37.21,0,1.3,5.74,9.48,1.17,0,10.73,0,0,0,0,13.94,0,0
120,36.63,1.28,0,4.15,37.8,0,0,0,2.7,1.73,2.11,3.71,7.31,22.24,0,0,3.59,0,0,9.51,0,3.21,0,14.67,0,0,0,0,6.37,0,0
