stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,mesenchyme,muscle,neural,notochord,olfactory,otic,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
  3-4,15.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,19.16,3.71,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,2.04,0,0,0,1.42,0,0,0
 24-34,0,0.67,0.69,0,0,0,0,0,12.49,0,0,0,0,1.83,0,0
 36-46,0,0,0,0,0.6,0,0.67,0,2.35,0,0,0,0,0.57,0,0
 48-58,0,0,0,0.95,0,0.67,1.91,0.4,8.02,0,0,0,0,0.49,0,2.64
 60-70,0,0,0.73,0.68,0,0,0,0,3.17,0,0,0,0,0,2.55,0
 72-82,0,0,0,5.04,0,8.57,0.66,0,2.72,0,1.35,0,0,3.01,0,0
 84-94,0,0,1.42,0,0,0.7,0,0,2.7,0,0,0,0,0,0.64,0
 96-106,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0
108-118,0,0,1.54,1.91,0,0,0,0,3.9,0,0,1.64,0,0,0,0
120,0,0,0,0,0,0,4.45,0,29.05,0,0,0,0,0,0,0
