stage,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,muscle,neural,notochord,olfactory,spinal.cord
 10-12,0,0,0,0,0,0,0,0,0,12.5,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0.89
 24-34,0,0,0,0,0,0,0.83,0,77.74,0,4.64,16.87
 36-46,0,0,0,2.61,0,0,0,0,182.97,1.24,3,11
 48-58,0,0,3.94,0.38,0,0,1.17,0.4,168.91,0,0.39,7.73
 60-70,0,0,0,1.4,0,0,0,0,183.57,0,0,5.02
 72-82,0,0,6.82,7.85,6.76,0,1.79,0,209.6,0,0,4.7
 84-94,0,0.82,4.47,10.44,4.14,0,0,0,173.78,0,0,6.42
 96-106,0.78,0,6.78,0,15.31,0,0,0,196.68,0,0.67,0
108-118,0,0,9.55,5.94,7.09,0,0,0,220.72,0,0,1.12
120,5.65,0,18.48,0,6.44,4.1,0,0,426.32,0,0,0
