stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,iridophores,liver,mesenchyme,muscle,neural,notochord,otic,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,4.44,0,0,0,0,1.32,0,0,0,0,0,0,1.78,0.83,0,1.23,0.87,2.3,0,0
 24-34,1.33,0,0,0.63,0,1.52,0,0,0,0,0,0,3.62,0,0,0,0,0.85,0,0
 36-46,0,0,0,0.69,0,0,0,0,0,0,0.67,0,4.66,0,0,0.9,0,0,0,0
 48-58,0,0,0.52,0,0,0,0,0,0,0,0.42,0.65,5.94,0,0,0,0,0,0,0
 60-70,0,0,1.5,0,0,0,0,0,0,0,0,0,2.52,0,0,0,0,0,0,0
 72-82,0,4.86,2.71,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,1.39,0,1.12
 84-94,0,0,0.55,0,0,0.57,0,0,0.7,1.72,0.82,0,1.6,0,0,0,0,0,0,0
 96-106,1.06,12.92,0,0,0,0.75,0,0.7,0,0,0.91,0,1.47,0,0,0,0,0,0,0
108-118,0,4.32,0.92,0,1.98,0,0,0,0.74,0,2.1,0,3.7,0,0,0,0,0,2.74,0
120,0,8.83,0,0,0,0,0,0,5.05,0,3.75,4.05,1.28,0,6.39,0,0,0,0,0
