stage,blastomeres,epidermis,eye,glial,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,25.65,0,0,0,0,0,0,0,0
  5-6,29.8,0,0,0,0,0,0,0,0
  7-9,0,0,5.69,0,0,13.79,4.9,0,0
 10-12,0,0,0,0,0,0,0,6.22,0
 24-34,0,0,0,0,0,1.98,0,1.34,0
 36-46,0,0,3.28,0,0,0,0,1.9,0
 48-58,0,0,12.55,0,0,2.08,0,0,0
 60-70,0,0,16.86,0,0,1.52,0,0,0
 72-82,0,0,6.55,1.21,1.46,1.4,0,0,2.56
 84-94,0,0,14.03,0,0,23.71,0,0,0
 96-106,0,0,9.87,0,0,13.06,0,0,0
108-118,0,0.44,1.09,3.54,0,32.84,0,0,0.47
120,0,0,0,8.18,2.43,39.17,0,0,0
