stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.46,29.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,13.25,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.57,0,5.34,0,0,0,6.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.21,8.27,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.04,0,0,0,0,0,30.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.35,0,0,0,126.44,0,0,8.7,4.56,9.78,0,6.84,0,0,0,0,0,0
 14-21,0,0,0,1.87,26.22,3.2,0,4.14,0,0,0,0,0,0,2.96,0,0,0,0,0,4.14,0,0,5.84,54.52,0.81,0,0,2.97,0,0,0,101.25,0,7.79,56.19,18.71,0,0,0,0,0
 24-34,0,0,0,2.85,9.16,0,0,16.44,0,6.09,0.67,0.98,0,0,0,0.8,8.13,0,0.65,0,6.99,0,0,3.08,115.58,0,3.32,0,0,0,4.97,0,0,0,3.94,2.41,35.64,0,0,5.25,0,0
 36-46,0,0,0,0.56,29.85,0,0,144.32,2.04,12.11,0,6.56,0,0,15.83,14.11,2.14,0,1.74,0,10.2,0,0,7.01,245.3,0,0.98,0,0,0,2.61,0,0,3.47,0,0,78.67,0,0,3.47,0,0
 48-58,0,0,0,0,9.83,0.68,0,329.41,1.16,6.84,1.48,11.93,0,0,3.5,2.77,0.38,0,0,0,16.13,0,0,16.66,252.35,0,3.33,0.69,0,0.56,0,0,0,1.95,7.15,0,65.99,0,0.85,6.31,0,0
 60-70,0,0,0,0,26.99,4.61,0,687.83,0,21.14,0,17.1,0,0,0,12.51,0,0.79,0,1.64,51.8,0,0.93,6.67,365.11,0,0.67,0,0,15.18,3.7,0,0,0.88,0.82,0,45.27,0,15.07,7.77,0,0
 72-82,0,0,0,0,21.25,24.83,0,654.55,0,13.78,2.25,25.26,5.09,0,6.03,14.21,0,2.79,0,0,67.91,2.18,21.51,12.77,236.59,0,6.35,1.22,0,16.41,0.62,0,0,0.53,2.68,0,34.97,3.15,23.74,15.65,13.21,0
 84-94,0,0,0.66,0,47.8,13.61,0,558.83,2.9,15.84,0,18.15,7.68,0.91,1.18,40.35,6.09,1.75,0,0,34.9,0,16.12,7.01,245.22,0,8.6,1.72,0,18.49,2.5,0,0,0,0,0,18.36,2.11,13.98,13.7,3.96,0.69
 96-106,0,0,0,0,40.2,52.97,0,878.26,2.9,12.63,0,31.11,9.89,0,4.06,49.36,0,1.66,3.85,0.78,101.06,0.84,8.29,6.54,194.68,0,0,2.36,0,59.21,2.75,0,0,0,0,0,9.16,14.39,32.84,13.05,3.28,0
108-118,0,0,0,0,66.15,8.56,1.28,728.21,1.09,47.17,4.83,21.14,10.56,0,4.13,60.26,6.44,4.1,0,1.8,79.34,0,22.18,9.44,245.78,0.44,4.41,0,0,83.96,0.47,0,0,0.45,0,0,17.08,9.98,53.06,5.22,1.55,0
120,0,0,0,0,148.59,10.16,3.69,662.36,0,40.97,0,44.88,5.46,0,4.06,66.63,1.49,12.19,0,0,93.82,3.43,0,4.29,395.97,0,5.35,1.86,0,136.26,0,0,0,3.74,0,0,7.39,12.32,25.86,20.26,0,0
