stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
 14-21,0,1,3.26,2.66,0,0,0,0,3.92,0,0,0,0,0,1.35,0,0,0,18.45,0.83,0,0,0,1.19,4.89,2.87,13.91,0,2.6,0
 24-34,0,0,1.58,0,0,0,0,0,8.92,3.34,0,1.36,0,0,7.36,0,0,0,28.19,0,0,0,0,17.71,0,0.83,9.83,0,2.16,0
 36-46,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.85,0,2.18,0,0,23.15,0,0,16.41,0,3.78,0
 48-58,0,0,0.42,0,6,0.66,0,1.48,4.77,0,0,0,0,0,3.75,0,0,0,81.5,0,0,0,0,7.94,0,0,17.6,0,0.37,0
 60-70,0,0,1.39,0,94.75,0,3.18,0,9.96,2.05,0,0,0,0,4.34,0,2,0,321.19,0,0,0,0,9.83,0,0,43.49,0,0,0
 72-82,0.5,0,2.18,0,113.5,0,0,1.03,8.72,0,0,3.49,2.8,0,1.51,0,0,1.57,183.72,0,0,0.55,0,11.32,0,0,9.91,1.61,5.23,0.5
 84-94,0,0,5.19,1.81,57.55,0,0,0,2.44,3.2,0,0,0,0,1.94,0,0,0,60.56,0,0.7,0,0,34.27,0,0,3.81,0.86,1.54,0
 96-106,0,0,12.36,0,155.17,0,0,0,2.34,0.74,0.75,2.3,4.25,0,5.06,0,0,0,123.54,0,0,2.12,3.88,59.26,0,0,0,0,0,0
108-118,0,0,4.36,0.42,101.35,0,0.48,2.66,10.52,1.66,0,1.07,6.5,6.77,4.29,0.54,0,0,78.08,0,0.46,4.5,0,16.28,0,0,8.89,0,0,0
120,0,0,8.02,0,84.7,0,0,0,6,8.33,0,1.06,0,3.92,0,0,0,4.22,102.42,0,0,8.31,0,8.59,0,0,0,1.27,0,0
