stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching.gland,heart,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,11.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,50.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.5,0,0,0,17.56,14.04,0,3.97,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,16.65,0,0,6.57,0,0,0
 14-21,0,0,0,1.19,0,0,0,1.63,0,10.56,0,0,0,2.51,0,0
 24-34,0,0,0,0,1.31,0,0,0,0,7.68,0,0,0,0,0,1.32
 36-46,0,0,0,8.73,0,0,0,0.92,0,9.48,0,0,0,0,4.11,0
 48-58,0,0.42,0,7.06,0.43,0,0.48,0.52,0,3.25,0,0,0,0,0,0
 60-70,0,0,0,15.79,0.78,0,0,0.89,0.65,11.83,0,0.98,0,0,0,0
 72-82,0,0,0,2.16,0.82,0,0,0,0,6,0,0,0,0,0,0
 84-94,0,0,0,1.17,0,0,0,0,0,0.61,0,0,0,0,0,0
 96-106,0,0,1.53,9.07,0,0,0,0,0,1.56,0,0,0,0,0,0
108-118,0,0,0,5.08,0,0,0,0,0,1.11,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,5.07,0,0,0,0,0,0
