stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord
  5-6,8.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.7,0,1.03,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0.78,0,1.31,0.76,0,0,0,0,0.97,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39,1.74
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.56,0,1.58,0,0,0,0,5.93,0.59
 60-70,0,0,0,0,24.35,0,0,0,0,0,0,0,0,0,1.63,0,4.34,0,0,0,0,17.23,1.16
 72-82,0,0,0,0,48.1,0.81,0,10.96,0,0,0,0,0,0,0.73,0,6.17,0.88,0,0,4.22,38.83,0
 84-94,0,0,0,0,44.79,0,0,5.6,0,0,0,0,0,0,0,0,1.99,0,0,0,0,143.19,0
 96-106,0,0,1.09,0,79.15,0,1.52,20.55,1.89,0,0,0,6.64,0,5.86,0,1.11,0,0,0.74,3.52,160.19,0
108-118,0,0,0,0.99,67.61,0,0,25.7,1.02,0,0,0,0,6.87,0,0.66,13.94,0,0,0,0,202.07,0
120,0,1.28,0,0,72.06,0,0,33.37,9.3,0,0,6.12,7.68,15.85,0,0,2.87,0,1.45,5.75,0,145.66,0
