stage,endoderm,epidermis,erythrocytes,eye,glial,heart,immune,lateral.line,mesenchyme,mural.cell,neural,olfactory,otic,paraxial.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,13.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,24.94,0,0,0,0,0,0,0,0,0,16.03,0,0,4.92,3.49,0,0,0
 14-21,0,0,0,1.13,0,0,0,0,0,0,7.68,0,0,0,0,2.44,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,12.87,0,0,0,0,1.42,0.93,0
 36-46,0,0,0,1.25,0,0,0,0,0,0,15.6,1.31,0,0,0,0.84,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,26.75,0,0,0,0,6.32,0,0
 60-70,0,0,0,7.25,1.03,0,0.6,0,0,6.53,49.29,0,0,0,0,1.49,0,0
 72-82,0,0.88,2.04,19.83,0,0,0.79,0,0.84,0,40.55,0,0,0,0,0,0,5.52
 84-94,0,0,0,14.24,0.9,0,2.46,0,1.13,0,28.76,0,0,0,0,0,3.29,0
 96-106,0,0,2.41,8.74,0,0.96,0.65,0.92,1.51,0,49.46,0,0,0,0,2.95,0,0
108-118,0,0.78,0,26.65,1.55,0,0.61,0,0,0,55.49,0,0,0,0,1.9,0.97,0
120,0,0,0,15.13,0,0,3.22,0,0,0,62.77,0,1.86,0,0,6.99,4.29,0
