stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,25.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.13,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,25.5,6.02,0,1.37,0,1.18,0,3.13,0,450.67,893.11,3.5,0,0,0,0,0
 24-34,0,0,0,0,8.33,0,0,14.78,856.82,0,0.86,2.61,0.66,0,0,1.36,2.16,0,0.7,0,2.99,14.32,0,0,148.71,264.23,3.73,2.89,0.62,0,0,14.76,0.6,405.58,893.19,27.34,0,0,18.54,0,2.37
 36-46,0,0,0,0,7.09,0,0,41.35,1988.85,4.74,1.43,10.36,0,0,2.68,2.7,0,0,0,0.57,22.13,23.05,0,0,69.13,191.75,10.31,1.86,1.63,0,0,53.75,2.85,204.14,53.12,47.4,0,0,10.38,0,9.1
 48-58,0,0,0,0,15.68,2.06,0,152.59,1836,9.06,0.42,31.09,0.61,0,0.59,0.56,0,0,1.09,1.87,7.52,40.91,0,0,138.61,475.4,5.81,1.76,0,0,0,39.17,0,92.71,0,96.34,0,0,6.35,0,33.51
 60-70,0,0,0,0,19.75,2.64,0,144.72,1119.11,0,1.86,57.32,1.23,0,0.7,2.45,0,9.19,0.66,0,0,39,0,0,100.99,290.02,6.52,3.12,0,1.62,0,19.02,0.85,37.9,0,47.85,0,0,3.34,0,22.42
 72-82,0,0,3.35,0,8.4,13.16,0,140.73,736.28,0.78,2.55,80.5,1.75,0,0,5.86,0.94,0,0.57,0.96,11.82,58.02,0,0,59.82,210.45,0.58,0,0.5,0,0,17.77,0,31.63,0,18.42,0.97,0.87,1.98,2.63,26.12
 84-94,0,0,4.94,1.04,14.15,17.66,0,130.81,1151.41,0.92,1.27,131.89,3.41,0.77,0,2.96,3.3,1.89,2.13,2.75,0,52.21,0,2.27,111.39,193.02,0,6.02,0,0,0,40.2,0,65.27,0,30.58,0,0,6.44,3.25,17.31
 96-106,0,0,1.41,0,27.64,46.13,0,255.84,1763.18,2.92,13.62,214.23,4.62,0,4.11,3.61,4.11,6.8,0.77,10.84,0,83.27,1.83,4.06,93.34,373.16,2.14,0.76,0.96,0,2.27,45.36,0.89,82.72,0,42.44,0,0.94,24.47,8.3,17.83
108-118,0,0,1.22,2.38,19.81,5.9,11.64,185.75,1337.11,1.79,0,156.76,8.36,0,0,6.18,6.58,11.56,0,12.22,0.52,70.61,0.49,6.3,129.35,249.59,0.51,0,0.57,0,4.57,30.91,0,77.2,0,23.43,0,1.3,3.92,4.17,14.71
120,1.19,0,11.35,0,8.14,1.75,1.58,92.71,767.62,1.62,0,198.3,2.68,0,1.17,0,2.06,7.23,0,10.82,0,75.68,0,10.85,129.39,299.66,13.99,0,6.75,0,0,7.84,0,11.42,0,23.02,0,0,0,0,1.16
