stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,90.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,26.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.95,0,3.87,0,0,0,5.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.13,21.68,0,0,161.39,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,10.33,0,18.95,0,0,0,27.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.29,38.52,0,0,73.31,0,0,0,0,12.71,0,0,0,0,0,0,0
 14-21,0,1.64,7.76,34.24,4.54,0,6.57,0,1.95,0,3.53,0,0.86,1.5,0,0,0,0,0,0,8.75,0,0,6.15,36.16,412.89,1.04,0,11.6,0,0.88,2.13,3.44,9.84,4.72,17.96,0,0,0,0,0
 24-34,0,0.62,0.62,26.88,0.84,0,24.05,0,11.84,1.82,3.19,0,0,1.13,0,0,0,0,0,0.62,31,0,0,8.63,189.52,285.44,6.28,5.48,0,2.91,0,0.86,0,14.06,3.93,34.5,0,0,4.34,0,0
 36-46,0,0,0,12.35,0,0,15.45,0,7.27,1.26,26.3,0,0,0,0,0,0,1.56,0,0,66.23,0,0,14.01,208.2,167.74,14.1,1.7,0,0,0,0,0,20.32,0,19.23,0,0,1.09,0,0
 48-58,0,0,0,14.94,3.01,0,96.51,0,9.33,3.36,27.42,0,0,0.42,0,0,0,0.89,0,5.87,82.63,0,0,5.53,184.44,105.86,5.83,2.37,0,0,4.04,0,0,3.31,0,29.75,0,1.12,6.75,0,6.72
 60-70,0,10.91,0,3.87,0.79,0,229.7,0,9.66,13.52,49.33,1.43,0,0.7,0,1.67,0,1.84,9.05,3.17,105.65,0,2.66,6.31,211.63,103.99,2.89,10.39,0,1.22,0,0,0,15.12,0,26.82,0,1.31,0.72,0,1.29
 72-82,0,0,0,12.55,8.7,0,369.32,0.57,12.94,3.62,71.59,0.7,0,0,1.76,3.07,0,2.82,0,0,182.77,8.82,7.4,5.1,258.85,43.4,5.96,6.04,0,0,0.53,0,0,5.51,0,6.83,0,3.52,3.72,1.55,0
 84-94,0,0.8,0,20.23,0.56,2.52,340.56,0,13.25,7.18,68.69,0,0,0,2.36,2.17,0,0.8,0,4.2,148.41,1.13,3.21,2.49,195.86,46.07,8.08,6.74,0,1.31,3.57,0,0,14.44,0,7.63,0,2.61,1.21,2.79,0
 96-106,0,0,0,22.12,12.74,1.09,415.76,0,16.55,1.72,111.59,5.72,0,0,2.64,2.58,1.04,0.58,0,0,174.22,16.45,4.86,8.74,159.96,44.19,21.47,11.63,0,5.59,0,0,0,7.8,0,4.71,2.74,5.34,0.85,3.52,5.74
108-118,0,0,0,45.57,0,49.14,356.91,0,15.2,4.18,117.57,4.3,0,1.3,3.69,10.91,0,1.43,0,12.44,155.78,0,16.19,3.54,234.02,87.95,6.34,14,0,7.54,11.22,0,0,9.71,0,3.64,0.94,3.26,4.48,0,0
120,0,0,0,37.83,7.18,22.34,349.2,0,30.35,3.94,165.71,10.68,0,0,5.34,0,0,4.72,8.48,1.45,166.49,1.16,23.21,9.71,427.58,95.08,14.13,1.05,0,9.62,0,0,0,8.24,0,20.18,1.27,0,5.69,1.59,0
