stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,heart,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.18,33.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.39,0,0,0,0,0,0,0,0,9.25,0,0,0,0,0,0,21.47,12.97,0,23.76,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.34,0,0,0,0,3.83,0,0,0,0,0,0,34.09,24.45,0,37.54,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.37,1.52,1.18,0,0,0,0,0,0,0,19.69,0,23.19,19.9,0,0,0.94,0,0,0,20.84,0,2.53,63.11,2.45,0,0,0,0,0
 24-34,0,0,0,1.82,0,0,0,4.55,0,0,2.16,0,0,85.65,0,27.99,25.23,0,0,0,0,0,0,0,0,4.44,11.38,3.84,0,0,0,0,0.93
 36-46,0,0,0,0,0,0,4.68,3.51,1.05,0,0,0,0,93.8,6.01,26.15,47.94,0,0,0,0,0,0.81,0,0,1.37,0,3.86,0,0,0.67,0,0
 48-58,0,0,0,0,0,3.28,3.13,1.25,0,0,3.13,0,0,78.05,6.15,19.37,5.26,0,0,0,0,0,0,0,0,0,0,3.78,0,0.85,2.26,0,0
 60-70,0,0,0,0,0,3.64,0,0.86,3.36,0,0.77,0,0,108.76,6.01,30.47,30.96,0,0,0,0,0,0,0,0,0.65,0,7.39,0,0,9.06,0,0
 72-82,0,0,0,8.28,0,6.55,0,1.88,0,0,2.79,0,0,128.8,14.49,30.88,10.73,0,1.29,0,0.59,0,0,0,0,0,0,5.25,0.78,2.62,3.23,1.16,0
 84-94,0,0,0,1.54,0,8.33,0,3.22,2.35,0,1.27,0,0,101.66,9.75,6.44,5.11,0,0,0,1.39,0,0,0,0,0,0,0,0,1.33,1.04,1.53,0
 96-106,0,0,0,2.29,0,1.1,0,0,1.07,0,4.26,1.6,0,108.34,16.23,18.96,32.09,0,0,0,6.49,2.04,0,0,1.63,0.84,0,0,1.68,5.16,3.47,5.89,0
108-118,0,0,0.74,0,0,5.57,0,0,0,0,0,0,0.88,131.74,14.74,13.58,11.34,0,0,0,4.68,0,0,0,0,0,0,0,0,0,0.45,0,0
120,0,0,0,0,0,15.48,2.34,0,1.07,0,0,0,0,109.65,32.76,4.7,35.65,0,0,0,6.29,0,0,0,0,0,0,0,0,9.46,0,9.36,0
