stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,51.5,552.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.72,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.79,236.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,18,0,6.79,0,0,0,20.97,0,0,0,0,0,12.62,0,0,0,0,0,0,0,0,0,0,157.33,13.25,0,0,38.64,0,0,9.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,19.75,0,35.57,0,0,0,47.61,0,0,0,0,0,21.77,0,0,0,0,0,0,0,0,0,0,237.73,25.35,0,0,59.52,0,0,0,0,32.24,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,20.25,5.15,0,22.42,0,0,0,9.96,0,0,1.15,0,0.9,0,0,0,0,8.77,0,3.3,164.31,0.85,1.44,0,4.83,0,0,0,39.15,3.11,0,22.95,40.55,0,0,0,0,0
 24-34,0,0,0,1.44,10.16,1.71,0,31.37,0,0,0.74,7.48,0.91,0,0,0,0,0,0,0.65,0,23.67,0,10.84,214.88,0.63,2.02,8.63,0,0,2.81,0,0,0.72,0,7.19,47.12,0,0,3.47,0,10.83
 36-46,0,0,0,0,11.41,1.47,0,45.08,1.47,0,0,8.88,0,0,0,0,0,0.74,0.74,0,0,12.81,1.45,8.13,149.45,0,6.08,2.2,0,0,4.98,0,0,0,0,0,41.77,0,0,0.78,0,0
 48-58,0,0,0,0,1.08,0,0,57.4,0.78,0.48,0.81,11.25,0,0,0,0,0,0.85,0,0,0.79,31.24,0.55,7.79,112.55,0,3.72,1.88,0,0,1.29,0,0,0.77,0,0,31.09,0,0.51,2.48,0,0.45
 60-70,0,0,0,0,6.79,0,0,236.15,0,0,1.68,15.58,0.75,0,0,0,0.59,4.68,0,0,0,29.32,2.48,14.37,73.17,0,0.84,1.38,0,0,2.53,0,0,2.76,0,0,18.34,0,5.3,0.87,0,10.15
 72-82,0,0,0.64,0,7.24,0,0,519.92,0,0,1.5,27.13,1.82,0,3.37,1.22,2.26,2.27,0,0,3.86,64.3,2.11,4.04,79.36,0,1.94,4.28,0,0,6.67,0,0,1,0,0,6.07,0,0,5,3.57,0
 84-94,0,0,0,0,11.04,1.41,0,654.74,0.56,1.19,2.41,12.14,1.45,0,0,3.76,0,0,0.61,0,0,43.84,3.22,7.09,48.88,0,6.34,3.14,0,0,12.96,0,0,0,0,0,13.81,0,0.84,1.29,0.63,6.36
 96-106,0,0,0.89,0,16.47,2.89,1,596.96,0,0,19.29,24.57,2.91,0,1.03,6.69,1.46,3.65,0,2.81,1.03,45.16,0,12.73,67.21,0.64,5.3,8.76,0,0,8.8,0,0,0,1.11,0,3.88,0,1.01,3.28,0,0.85
108-118,0,0,0,0,15.25,2.34,0.49,556.94,0.52,1.47,8.14,22.41,1.81,0,0.93,0.56,0,0.48,1.02,1.35,0,43.03,0.74,16.7,99.68,0,3.41,2.64,0,0.95,5.02,0.42,0,0,0,0,13.56,0.41,0.8,14.04,0,5.32
120,0,0,0,0,15.75,6.26,0,590.01,0,7.13,1.61,26.56,1.52,0,0,20.95,1.65,0,0,5.44,0,66.27,1.38,19.53,116.19,0,0,0,0,0,1.15,0,0,16.39,0,0,0,0,5.26,3.19,14.67,0
