stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,13.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.43,0,0,0,0,0,0,0,0,0,0,0,0,5.82,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.95,0,0,0,2.01,0,0,4.44,1.29,0,0,0,0.83,0,1.73,0,0,0
 24-34,0,0,0,0,1.53,0,0,0,0,0,2.61,0,0,20.17,0,0,0,1.51,0,1.45,0,1.28,0,0
 36-46,0,1.8,0,0,1.16,0.61,0,3.63,0,0,0.91,0,0,64.87,0,1.28,0,1.07,0,0,0,5.54,0.88,0
 48-58,0,0,0,0,7.1,0,0,5,0,3.43,5.89,0,1.57,62.12,0,0,0,4.37,0,0,0,10.01,0,0
 60-70,0,0,0,0,11.92,0,0,0,0,0,0.81,0,0,43.37,0,0,1.03,0,0,0,0,2.95,1.3,0
 72-82,0,0,0,0,9.32,0.49,0,2.03,0,0,5.8,0,0,14.98,0,0,0.61,1.95,0,0,0,0,0,0
 84-94,0,0,0,0,3.61,0,0,2.46,0.61,0,1.8,0.92,0,19.29,0,0,0.64,3.43,0,0,0,2.33,5.96,0
 96-106,0,0.59,0,0,8.58,0,0.71,1.55,0,0,0.9,1.73,0,16.72,0,0,1.16,6.2,0,0,0,0,0.65,1.29
108-118,0,0,0.66,0,0.72,0,0,2.68,0,0,3.24,0,0,6.99,0,0,0,5.02,0,0,0,0,0,1.09
120,0,3.98,0,1.71,2.33,0,0,12.72,0,0,0,0,0,27.37,0,0,0,1.25,0,0,0,0,0,0
