stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,50.92,1344.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.79,0,0,0,0,0,0,0,0,0,0,0
  5-6,86.18,2134.68,0,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0,0,132.69,15.57,0,0,18.5,45.38,0,0,0,0,0,0,0,0,0,0,0
  7-9,42.68,48.73,0,80.54,0,0,0,111.8,0,0,0,0,0,66.22,0,0,0,0,0,0,0,0,0,0,0,1282.75,123.1,0,0,488.76,0,7.76,0,0,0,0,0,0,0,0,0,0
 10-12,0,90.83,0,160.59,0,20.87,0,113.94,0,0,0,0,0,87.41,0,0,0,0,0,0,0,0,0,0,3.87,1399.07,101.55,0,0,599.38,7.35,7.97,8.12,32.75,0,5.88,4.51,0,0,0,0,0
 14-21,0,0,1.32,3.87,42.77,9.82,0,14.03,0,0,0,6.69,4.8,0.95,1.13,0,1.15,0,0,9.92,0.95,27.7,0,0,11.88,192.65,10.2,0,2.55,15.84,3.98,1.1,39.26,4.98,2.03,28.96,66.39,0,0,6.13,0,0
 24-34,0,0,4.72,0,15.7,2.56,0,36.85,0,1.34,1.86,8.22,1.47,0,6.1,0,2.03,1.32,3.09,0,3.04,50.65,5.25,0,13.04,404.11,4.24,10.47,1.44,0,20.4,0,0,4.26,0,11.28,104.62,0,0,39.13,0,6.8
 36-46,0,0,0,0,5.03,2.2,0,62.22,0,4.48,2.61,19.59,1.28,0,3.63,3.16,0.79,0,0,1.07,7.92,51.36,0,2.18,20.81,455.38,2.89,7.64,1.57,0,18.84,0,0,0,0.59,0,118.77,0,0,6.89,0,4.01
 48-58,0,0,0.54,0,15.31,0.39,0,160.65,2.4,2.91,1.21,27.67,2.07,0,1.22,3.96,0.85,2.14,1.27,0,0.38,61.11,1.63,1.97,7.32,315.86,0.71,3.03,8.06,0,23.16,0,0,7.28,0.93,0,91.68,0,0,8.03,0,7.87
 60-70,0,0,0.7,0,17.98,3.9,0,342.65,5.19,10.47,9.61,39.29,1.38,1.21,1.97,2.48,0,6.46,1.34,2.92,1.05,100.42,0,7.04,12.67,443.88,1.36,3.92,9.1,0,23.13,0,0,2.52,2.16,0,63.53,0,4.91,11.57,0,17.14
 72-82,0,0,1.95,0,11.4,24.12,1.16,392.13,0,3.54,4.69,66.08,6.32,0.89,2.71,2.67,0.53,4.93,2.22,0,0,135.91,1.79,6.28,8.73,295.9,1.72,15.54,15.6,0,18.45,0,0,0,0,0,67.84,7.88,2.11,29.51,3.11,24.74
 84-94,0,0,2.62,0,29.83,42.84,0.6,289.49,2.97,3.54,0.7,60.56,9.78,0,1.14,6.32,1.72,11.49,0.83,2.69,9.4,131.34,7.82,5.25,8.78,256.22,2.24,26.51,16.8,0,34.79,0,0,5.22,0.55,0,14.58,6.89,6.34,34.46,1.88,8.47
 96-106,0,0,3.21,1.03,16.38,73.8,0,282.22,0,10.48,2.71,90.07,8.75,0,2.62,5.11,5.1,7.24,8.62,20.95,4.24,147.35,5.61,2.4,15.52,275.85,0.84,8.72,18.63,0,36.43,0,0,2.72,0.71,0,14.25,0.88,7.16,22.72,5.03,17.55
108-118,0,0,3.88,0,24.67,23.02,2.18,288.6,3,10.26,7.07,80.84,16.21,0,5.18,8.49,4.38,51.05,6.67,10.31,1.7,158.13,5.86,13.93,12.75,299.4,9.6,3.66,20.6,0,27.75,0,0,0.42,1.23,0,15.07,4.97,2.41,35.88,1.05,13.17
120,0,0,7.35,0,43.74,36.72,0,222.76,3.87,6.77,16.02,169.57,57.76,0,1.61,12.65,10.29,9.46,4.27,0,0,150.02,0,25.21,12.39,537.1,5.66,32.68,13.26,0,8.07,0,0,1.26,0,0,55.39,12.35,0,34.42,8.41,3.58
