stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,xanthophores
  3-4,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.3,19.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,19.08,0,0,0,0,0,0,0,0,0,40.96,0,0,0,9.31,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.81,0,0,5.4,0,0,0,0,0,0,0,0,0,237.33,44.58,0,0,46.11,0,14.56,0,0,0,0,0,0
 14-21,0,0,0,0,1.32,0.86,3.38,0,0,69.15,0,0,0,0,7.72,0,74.05,0.89,4.78,24.8,7.53,0,1.23,1.03,30.44,1.61,227.72,0,0
 24-34,0,0,0,0,2.01,0,1.36,0,0,66.93,0,2.57,0,0,6.7,0.61,74.76,0,58.6,12.46,0,0.63,0,0,53.06,2.22,163.74,0,0
 36-46,0,0,0,0,0,0,0.82,0,0.99,37.55,0.67,0,0,0,0.61,0.8,32.23,1.12,81.2,3.41,0,0,0,0,21.92,0,88.6,0,0
 48-58,0,0,0,0,17.46,0,3.48,0,0,42.59,2.14,0,1.33,0,1.14,0.44,40.06,0,55.26,12.24,0,0,0,0,7.16,0,117.51,0,3.79
 60-70,0,0,0,0,0,4.71,1.89,0.74,0,55.09,0,0,1.35,0,0,0,25.6,0,83.47,10.88,0,2.31,0,0,17.47,0,68.3,0,0
 72-82,0,0,0,0,0,0,1.87,0,0,68.54,0.67,0,8.3,0,3.2,0,19.96,0,147.74,26.18,0,0,0,0,3.47,0,37.42,0,0
 84-94,0,0,0,0,0,0,3.08,0,0,33.48,0.84,0,4.71,0,0,0.71,15.29,0,96.74,22.04,0,0,0,0,5.05,0,22.7,0,0
 96-106,0,0,0,0,0.59,0,5.4,0,0,33.98,1.17,2.85,17.66,0,7.02,0,4.95,0,218.61,27.99,0,0.68,0,0,1.89,0,22.35,1.58,0.8
108-118,0,0,0,0,0.76,0,3.04,0,0.47,20.56,0,0,3.26,2,4.74,0,17.74,0,108.89,17.29,0,0,0,0,3.58,0,10.42,0,0.73
120,0,0,3.64,0,0,0,7.6,0,0,8.5,0,0,8.48,0,9.31,0,21.36,0,109.96,24.91,0,0,0,0,3.74,0,6.67,0,0
