stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,47.54,398.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.18,419.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.44,0,11.11,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,24.08,0,6.93,0,0,42.69,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,290.14,17.07,0,0,98.54,0,0,3.79,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.49,0,25,0,0,43.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419.91,9.42,0,0,137.43,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,18.83,3.66,8.02,0,0,0,1.29,0.85,0,1.3,0,0,0,0,0,0,7.32,0,0,5.61,111.09,3.87,0,0,0.9,0,1.54,0,6.66,0,0,13.44,41.31,0,0,2.34,0,0
 24-34,0,0,0.81,1.43,7.24,1.53,23.13,0,0,0.83,1.9,0.59,0,0,3.3,0,2.79,0.72,0,7.05,39.91,0,0,9.78,400.58,0.75,0,1.38,0,0,7.59,0,0,0,0,3.67,65.22,0,0,21.99,0,0
 36-46,0,0,0,0,1.87,0.84,102.31,3.65,0.69,0.64,10.27,0,0,0,0,0,0,0.57,0,0,24,0,0,3.99,389.14,1.36,0,0,0,0,7.43,0,0,0,0,0,87.21,0,0,3.1,0,8
 48-58,0,0,0,0,5.03,0,120.6,6,6.77,0,25.76,0,0,0,0,5.05,0.38,0.51,0,0.48,15.49,0,0.54,2.08,349.36,2.77,2.53,0.47,0,0,4.84,0,0,0,0,0,58.55,0,0,11.32,0.78,0
 60-70,0,0,0,0,3.71,0,165.68,0,2.63,8.36,19.07,0,0,0.92,0,0,0.61,0,0,0,32.22,0,1.72,1.54,365.81,0,0,0.57,0,0,3.71,0,0,0,0,0,66.56,0,0.9,3.6,0,1.76
 72-82,0,0,1.41,0,1.28,6.57,119.54,0,0.55,2.81,16.26,0.62,0,1.02,1.64,9.27,0,0,0,0,34.1,2.18,5.33,0.57,275.76,0,1.09,0,0,0,2.64,0,0,0,0,0,22.7,0,0,3.1,1.53,6.55
 84-94,0,0,0,0,3.82,1.94,111.84,0,0.56,0,12.45,3.99,0,0,0.6,0,2.39,0,4.97,0,33.89,0,0,0.91,190.74,2.58,2.34,3.24,0,0,10.17,0,0,0,0,0,10.65,0,0,7.07,0,5.07
 96-106,0,0,0,0,9.95,0,99.01,0,0,0.63,17,4.25,0,2.77,2.65,0,1.85,0.84,0,0,35.69,2.45,4.16,5.81,136.71,0,3.16,6.02,0,6.23,9.71,0,0,0,0,0,0,0,0,7.93,0,0
108-118,0,0,0.71,0,3.69,0.98,109.79,0.68,0,0.58,25.76,8.92,0,0,3.09,2.03,0.56,0,1.5,0.6,32.7,0,0,4.27,186.47,0.42,0,5.77,0,0,3.76,0,0,0.75,0.69,0,12.57,7.63,0,1.21,4.35,0
120,0,0,0,0,5.81,0,100.75,0,0,0,44,2.96,0,16.8,6.89,0,0,0,0,0,59.52,0,0,1.03,143.53,0,2.74,0,0,0,4.95,0,0,0,0,0,17.84,0,0,0,1.8,0
