stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,10.18,1768.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.31,0,0,0,0,0,0,0
  5-6,151.19,2441.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.65,6.07,0,36.19,54.26,0,0,0,0,0,0,0
  7-9,65.04,4.71,29.09,0,0,47.34,0,0,0,0,52.24,0,0,0,0,0,0,0,480.1,32.85,0,216.62,4.29,4.77,0,0,0,0,0,0
 10-12,3.8,9.21,10.44,0,0,8.25,0,0,0,0,45.85,0,0,0,0,0,0,0,165.34,60.95,0,112.71,0,0,0,8.56,0,5.32,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37,0,0,0,0,0,0.98,0,1.02,0,0,0
 24-34,0,0,0,2.43,1.21,0.71,0,0.63,0,0.73,0,0.67,0,0,2.68,0.86,0,0.7,12.03,0,0,0,0,0,0,0,0,2.85,0.87,0
 36-46,0,0,0,0,0,0,0,0,1.68,0,0,0,0,0,0,0.71,2.04,0.56,2.78,0,0,0,0,0,0,0,0,3.17,1.02,0
 48-58,0,0,0,5.41,0,0,0,0,0.38,0,0,0,0,0,0,2.92,0,0,10.39,0,0,0,0,0,0,0,0,3.94,0,0
 60-70,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71
 72-82,0,0,0,0,0,0,0,0,1.69,0,0,0,0.58,0,0,2.89,1.12,0,2.18,1.46,0,0,0,0,0,0,0,0,4,0
 84-94,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,2.98,0
 96-106,0,0,0,0,0,0,0.68,0,0.71,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,0.55,0,0,0,0,0,0,0,1.2,0
120,0,0,0,1.16,0,0,0,0,9.72,0,0,0,0,4.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
