stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,19.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.27,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,0,0,0,5.87,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.47,0,0,0,0,0,0,0,8.91,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,3.88,1.95,0,0,0,0,0
 24-34,0,0,0,0,0,0,280.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,1333.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
 48-58,0,0,0,3.18,0,0,859.51,0,0,0,0,0,0,0,0,0,0,0,0,1.49,0,0,0,31.96,0,0,0,0,0,0,0,0,0,7.94,0,0,0.63,0,0
 60-70,0,0,0,15.1,0,0,14027.87,0,3.31,8.39,19.67,5.38,0,0,11.08,0,0,0,1.22,25.53,0,0.65,0,135.42,0,10.21,0,0,0,8.48,0,0,0,23.87,0,0.6,4.19,0,19.2
 72-82,0,0,0.64,71.03,43.16,1.86,30453.38,6.67,10.98,23.75,77.15,2.27,0,3.5,1.52,5.36,1.32,13.18,0,140.29,2.7,6.2,9.75,594.31,0,12.34,11.6,0,1.06,22.38,0,2,0,57.79,4.08,3.71,15.64,0,79.12
 84-94,0,0,1.62,124.29,28.75,2.35,35700.17,8.59,10.98,9.45,58.45,2.81,0.78,3.47,1.36,7.3,2.04,6.61,0,101.31,3.01,2.95,8.88,298.04,11.21,2.72,0,0,2.56,38.72,0,0,0,46.73,7.89,6.41,19.13,6.17,10.94
 96-106,0,0,1.06,51.01,59.71,2.23,28307.01,1.88,10.69,1.74,55.36,4.48,0,11.1,0,11.67,1.81,11.45,7.1,108.4,2.61,0,8.74,345.39,2.08,2.98,4.46,0,0,58.82,2.06,5.32,10.87,22.52,2.5,3.03,10.07,1.52,11.12
108-118,74.79,0,0,47.73,12.93,2.2,25485.68,0,5.35,5.29,64.98,5.18,0,3.45,7.37,0.89,5.26,5.24,9.46,118.32,0,11.21,14.14,470.52,7.59,5.73,4.05,0,1.05,41.64,0,0,0,7.13,0.77,1.8,7.88,5.87,8.62
120,0,0,0,86.92,43.69,2.02,22484.26,5.69,2.48,2.94,28.65,0,0,1.47,5.9,4.53,0,0,0,127.03,0,7.16,1.27,583.44,1.33,0,16.94,0,0,21.78,0,3.23,0,10.44,0,8,5.39,1.43,0
